ts_code,period,reason
000001.SZ,20250804,pass
000021.SZ,20250804,pass
000026.SZ,20250804,pass
000028.SZ,20250804,pass
000027.SZ,20250804,pass
000010.SZ,20250804,pass
000008.SZ,20250804,pass
000009.SZ,20250804,pass
000011.SZ,20250804,pass
000014.SZ,20250804,pass
000012.SZ,20250804,pass
000029.SZ,20250804,pass
000030.SZ,20250804,pass
000020.SZ,20250804,pass
000019.SZ,20250804,pass
000031.SZ,20250804,pass
000032.SZ,20250804,pass
000036.SZ,20250804,pass
000037.SZ,20250804,pass
000039.SZ,20250804,pass
000042.SZ,20250804,pass
000049.SZ,20250804,pass
000048.SZ,20250804,pass
000050.SZ,20250804,pass
000055.SZ,20250804,pass
000058.SZ,20250804,pass
000059.SZ,20250804,pass
000060.SZ,20250804,pass
000062.SZ,20250804,pass
000061.SZ,20250804,pass
000063.SZ,20250804,pass
000065.SZ,20250804,pass
000068.SZ,20250804,pass
000066.SZ,20250804,pass
000069.SZ,20250804,pass
000070.SZ,20250804,pass
000078.SZ,20250804,pass
000089.SZ,20250804,pass
000088.SZ,20250804,pass
000090.SZ,20250804,pass
000100.SZ,20250804,pass
000153.SZ,20250804,pass
000156.SZ,20250804,pass
000157.SZ,20250804,pass
000158.SZ,20250804,pass
000159.SZ,20250804,pass
000166.SZ,20250804,pass
000301.SZ,20250804,pass
000333.SZ,20250804,pass
000338.SZ,20250804,pass
000400.SZ,20250804,pass
000402.SZ,20250804,pass
000403.SZ,20250804,pass
000401.SZ,20250804,pass
000404.SZ,20250804,pass
000407.SZ,20250804,pass
000408.SZ,20250804,pass
000409.SZ,20250804,pass
000411.SZ,20250804,pass
000415.SZ,20250804,pass
000417.SZ,20250804,pass
000419.SZ,20250804,pass
000420.SZ,20250804,pass
000421.SZ,20250804,pass
000422.SZ,20250804,pass
000425.SZ,20250804,pass
000426.SZ,20250804,pass
000428.SZ,20250804,pass
000488.SZ,20250804,pass
000498.SZ,20250804,pass
000501.SZ,20250804,pass
000503.SZ,20250804,pass
000505.SZ,20250804,pass
000504.SZ,20250804,pass
000506.SZ,20250804,pass
000507.SZ,20250804,pass
000509.SZ,20250804,pass
000513.SZ,20250804,pass
000514.SZ,20250804,pass
000516.SZ,20250804,pass
000517.SZ,20250804,pass
000519.SZ,20250804,pass
000521.SZ,20250804,pass
000520.SZ,20250804,pass
000523.SZ,20250804,pass
000524.SZ,20250804,pass
000525.SZ,20250804,pass
000526.SZ,20250804,pass
000528.SZ,20250804,pass
000529.SZ,20250804,pass
000530.SZ,20250804,pass
000531.SZ,20250804,pass
000532.SZ,20250804,pass
000533.SZ,20250804,pass
000537.SZ,20250804,pass
000538.SZ,20250804,pass
000539.SZ,20250804,pass
000541.SZ,20250804,pass
000543.SZ,20250804,pass
000544.SZ,20250804,pass
000545.SZ,20250804,pass
000546.SZ,20250804,pass
000547.SZ,20250804,pass
000550.SZ,20250804,pass
000548.SZ,20250804,pass
000551.SZ,20250804,pass
000553.SZ,20250804,pass
000552.SZ,20250804,pass
000554.SZ,20250804,pass
000555.SZ,20250804,pass
000557.SZ,20250804,pass
000558.SZ,20250804,pass
000559.SZ,20250804,pass
000561.SZ,20250804,pass
000563.SZ,20250804,pass
000565.SZ,20250804,pass
000566.SZ,20250804,pass
000567.SZ,20250804,pass
000568.SZ,20250804,pass
000570.SZ,20250804,pass
000571.SZ,20250804,pass
000572.SZ,20250804,pass
000576.SZ,20250804,pass
000581.SZ,20250804,pass
000586.SZ,20250804,pass
000589.SZ,20250804,pass
000590.SZ,20250804,pass
000592.SZ,20250804,pass
000591.SZ,20250804,pass
000593.SZ,20250804,pass
000597.SZ,20250804,pass
000598.SZ,20250804,pass
000599.SZ,20250804,pass
000600.SZ,20250804,pass
000601.SZ,20250804,pass
000603.SZ,20250804,pass
000605.SZ,20250804,pass
000607.SZ,20250804,pass
000609.SZ,20250804,pass
000610.SZ,20250804,pass
000612.SZ,20250804,pass
000617.SZ,20250804,pass
000619.SZ,20250804,pass
000625.SZ,20250804,pass
000623.SZ,20250804,pass
000626.SZ,20250804,pass
000629.SZ,20250804,pass
000630.SZ,20250804,pass
000631.SZ,20250804,pass
000632.SZ,20250804,pass
000633.SZ,20250804,pass
000635.SZ,20250804,pass
000636.SZ,20250804,pass
000637.SZ,20250804,pass
000639.SZ,20250804,pass
000651.SZ,20250804,pass
000650.SZ,20250804,pass
000652.SZ,20250804,pass
000655.SZ,20250804,pass
000656.SZ,20250804,pass
000657.SZ,20250804,pass
000661.SZ,20250804,pass
000663.SZ,20250804,pass
000665.SZ,20250804,pass
000668.SZ,20250804,pass
000669.SZ,20250804,pass
000670.SZ,20250804,pass
000672.SZ,20250804,pass
000676.SZ,20250804,pass
000677.SZ,20250804,pass
000679.SZ,20250804,pass
000680.SZ,20250804,pass
000678.SZ,20250804,pass
000682.SZ,20250804,pass
000683.SZ,20250804,pass
000685.SZ,20250804,pass
000688.SZ,20250804,pass
000686.SZ,20250804,pass
000690.SZ,20250804,pass
000691.SZ,20250804,pass
000692.SZ,20250804,pass
000697.SZ,20250804,pass
000698.SZ,20250804,pass
000700.SZ,20250804,pass
000702.SZ,20250804,pass
000701.SZ,20250804,pass
000705.SZ,20250804,pass
000703.SZ,20250804,pass
000707.SZ,20250804,pass
000708.SZ,20250804,pass
000709.SZ,20250804,pass
000710.SZ,20250804,pass
000713.SZ,20250804,pass
000712.SZ,20250804,pass
000715.SZ,20250804,pass
000717.SZ,20250804,pass
000720.SZ,20250804,pass
000719.SZ,20250804,pass
000718.SZ,20250804,pass
000723.SZ,20250804,pass
000722.SZ,20250804,pass
000725.SZ,20250804,pass
000726.SZ,20250804,pass
000728.SZ,20250804,pass
000731.SZ,20250804,pass
000735.SZ,20250804,pass
000737.SZ,20250804,pass
000738.SZ,20250804,pass
000739.SZ,20250804,pass
000750.SZ,20250804,pass
000751.SZ,20250804,pass
000753.SZ,20250804,pass
000755.SZ,20250804,pass
000752.SZ,20250804,pass
000756.SZ,20250804,pass
000758.SZ,20250804,pass
000757.SZ,20250804,pass
000761.SZ,20250804,pass
000762.SZ,20250804,pass
000766.SZ,20250804,pass
000767.SZ,20250804,pass
000768.SZ,20250804,pass
000776.SZ,20250804,pass
000777.SZ,20250804,pass
000778.SZ,20250804,pass
000779.SZ,20250804,pass
000783.SZ,20250804,pass
000789.SZ,20250804,pass
000788.SZ,20250804,pass
000790.SZ,20250804,pass
000791.SZ,20250804,pass
000792.SZ,20250804,pass
000796.SZ,20250804,pass
000795.SZ,20250804,pass
000797.SZ,20250804,pass
000798.SZ,20250804,pass
000799.SZ,20250804,pass
000802.SZ,20250804,pass
000807.SZ,20250804,pass
000803.SZ,20250804,pass
000811.SZ,20250804,pass
000812.SZ,20250804,pass
000815.SZ,20250804,pass
000813.SZ,20250804,pass
000819.SZ,20250804,pass
000820.SZ,20250804,pass
000821.SZ,20250804,pass
000822.SZ,20250804,pass
000823.SZ,20250804,pass
000825.SZ,20250804,pass
000826.SZ,20250804,pass
000828.SZ,20250804,pass
000831.SZ,20250804,pass
000830.SZ,20250804,pass
000833.SZ,20250804,pass
000837.SZ,20250804,pass
000838.SZ,20250804,pass
000839.SZ,20250804,pass
000850.SZ,20250804,pass
000856.SZ,20250804,pass
000852.SZ,20250804,pass
000859.SZ,20250804,pass
000858.SZ,20250804,pass
000862.SZ,20250804,pass
000869.SZ,20250804,pass
000875.SZ,20250804,pass
000876.SZ,20250804,pass
000877.SZ,20250804,pass
000878.SZ,20250804,pass
000880.SZ,20250804,pass
000881.SZ,20250804,pass
000883.SZ,20250804,pass
000886.SZ,20250804,pass
000885.SZ,20250804,pass
000888.SZ,20250804,pass
000889.SZ,20250804,pass
000890.SZ,20250804,pass
000892.SZ,20250804,pass
000893.SZ,20250804,pass
000895.SZ,20250804,pass
000897.SZ,20250804,pass
000898.SZ,20250804,pass
000899.SZ,20250804,pass
000900.SZ,20250804,pass
000901.SZ,20250804,pass
000902.SZ,20250804,pass
000905.SZ,20250804,pass
000906.SZ,20250804,pass
000909.SZ,20250804,pass
000908.SZ,20250804,pass
000911.SZ,20250804,pass
000910.SZ,20250804,pass
000913.SZ,20250804,pass
000915.SZ,20250804,pass
000917.SZ,20250804,pass
000919.SZ,20250804,pass
000920.SZ,20250804,pass
000922.SZ,20250804,pass
000925.SZ,20250804,pass
000923.SZ,20250804,pass
000926.SZ,20250804,pass
000927.SZ,20250804,pass
000928.SZ,20250804,pass
000929.SZ,20250804,pass
000930.SZ,20250804,pass
000932.SZ,20250804,pass
000931.SZ,20250804,pass
000933.SZ,20250804,pass
000935.SZ,20250804,pass
000936.SZ,20250804,pass
000937.SZ,20250804,pass
000948.SZ,20250804,pass
000951.SZ,20250804,pass
000950.SZ,20250804,pass
000952.SZ,20250804,pass
000953.SZ,20250804,pass
000955.SZ,20250804,pass
000957.SZ,20250804,pass
000959.SZ,20250804,pass
000958.SZ,20250804,pass
000960.SZ,20250804,pass
000962.SZ,20250804,pass
000963.SZ,20250804,pass
000965.SZ,20250804,pass
000967.SZ,20250804,pass
000968.SZ,20250804,pass
000969.SZ,20250804,pass
000970.SZ,20250804,pass
000973.SZ,20250804,pass
000977.SZ,20250804,pass
000978.SZ,20250804,pass
000983.SZ,20250804,pass
000985.SZ,20250804,pass
000987.SZ,20250804,pass
000989.SZ,20250804,pass
000988.SZ,20250804,pass
000990.SZ,20250804,pass
000993.SZ,20250804,pass
000995.SZ,20250804,pass
000997.SZ,20250804,pass
