ts_code,period,reason
000056.SZ,20250827-20250829,死叉
000096.SZ,20250827-20250829,死叉
000151.SZ,20250827-20250829,死叉
000423.SZ,20250827-20250829,死叉
000429.SZ,20250827-20250829,死叉
000430.SZ,20250827-20250829,死叉
000518.SZ,20250827-20250829,死叉
000520.SZ,20250827-20250829,死叉
000525.SZ,20250827-20250829,死叉
000564.SZ,20250827-20250829,死叉
000582.SZ,20250827-20250829,死叉
000598.SZ,20250827-20250829,死叉
000627.SZ,20250811-20250813,死叉
000638.SZ,20250827-20250829,死叉
000656.SZ,20250827-20250829,死叉
000659.SZ,20250827-20250829,死叉
000695.SZ,20250827-20250829,死叉
000729.SZ,20250827-20250829,死叉
000759.SZ,20250827-20250829,死叉
000761.SZ,20250827-20250829,死叉
000786.SZ,20250827-20250829,死叉
000785.SZ,20250827-20250829,死叉
000809.SZ,20250827-20250829,死叉
000848.SZ,20250827-20250829,死叉
000851.SZ,20250827-20250829,死叉
000863.SZ,20250827-20250829,死叉
000882.SZ,20250827-20250829,死叉
000903.SZ,20250827-20250829,死叉
000912.SZ,20250827-20250829,死叉
000921.SZ,20250827-20250829,死叉
000966.SZ,20250827-20250829,死叉
000975.SZ,20250827-20250829,死叉
000997.SZ,20250827-20250829,死叉
000998.SZ,20250827-20250829,死叉
000999.SZ,20250827-20250829,死叉
001205.SZ,20250827-20250829,死叉
001258.SZ,20250827-20250829,死叉
001313.SZ,20250827-20250829,死叉
001328.SZ,20250827-20250829,死叉
001337.SZ,20250827-20250829,死叉
001376.SZ,20250827-20250829,死叉
001388.SZ,20250827-20250829,死叉
001965.SZ,20250827-20250829,死叉
002014.SZ,20250827-20250829,死叉
002032.SZ,20250827-20250829,死叉
002041.SZ,20250827-20250829,死叉
002059.SZ,20250827-20250829,死叉
002076.SZ,20250827-20250829,死叉
002105.SZ,20250827-20250829,死叉
002122.SZ,20250827-20250829,死叉
002124.SZ,20250827-20250829,死叉
002127.SZ,20250827-20250829,死叉
002149.SZ,20250827-20250829,死叉
002165.SZ,20250827-20250829,死叉
002187.SZ,20250827-20250829,死叉
002200.SZ,20250827-20250829,死叉
002221.SZ,20250827-20250829,死叉
002251.SZ,20250827-20250829,死叉
002274.SZ,20250827-20250829,死叉
002293.SZ,20250827-20250829,死叉
002306.SZ,20250827-20250829,死叉
002318.SZ,20250827-20250829,死叉
002327.SZ,20250827-20250829,死叉
002333.SZ,20250827-20250829,死叉
