filename,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,平均盈亏比
000001.SZ_pro_bar.csv,24,7.14%,58.33%,48.05%,-3.81%,6.228,3.633
000002.SZ_pro_bar.csv,8,3.90%,25.00%,46.06%,-7.08%,6.859,1.715
000004.SZ_pro_bar.csv,10,2.99%,60.00%,21.82%,-13.89%,1.325,0.795
000006.SZ_pro_bar.csv,9,-4.81%,22.22%,6.05%,-17.19%,0.485,0.108
000007.SZ_pro_bar.csv,15,2.22%,40.00%,28.54%,-7.84%,2.774,1.109
000008.SZ_pro_bar.csv,3,6.17%,33.33%,27.12%,-5.29%,6.301,2.1
000009.SZ_pro_bar.csv,15,-1.77%,26.67%,18.13%,-11.67%,1.328,0.354
000010.SZ_pro_bar.csv,5,-7.16%,20.00%,9.04%,-17.61%,0.806,0.161
000011.SZ_pro_bar.csv,7,6.37%,42.86%,46.88%,-10.86%,4.644,1.99
000012.SZ_pro_bar.csv,15,-1.68%,33.33%,11.22%,-6.98%,0.933,0.311
000014.SZ_pro_bar.csv,5,-3.76%,20.00%,12.49%,-13.44%,1.596,0.319
000016.SZ_pro_bar.csv,11,0.39%,36.36%,42.61%,-17.05%,1.887,0.686
000017.SZ_pro_bar.csv,9,-1.11%,33.33%,8.06%,-8.44%,1.06,0.353
000019.SZ_pro_bar.csv,11,-5.64%,18.18%,3.07%,-17.05%,0.339,0.062
000020.SZ_pro_bar.csv,9,2.59%,77.78%,12.62%,-3.35%,1.134,0.882
000021.SZ_pro_bar.csv,21,0.81%,38.10%,42.42%,-10.13%,2.103,0.801
000025.SZ_pro_bar.csv,7,-2.63%,28.57%,2.68%,-10.99%,0.462,0.132
000026.SZ_pro_bar.csv,14,-1.49%,28.57%,9.24%,-6.34%,0.979,0.28
000027.SZ_pro_bar.csv,7,-4.76%,28.57%,3.13%,-15.11%,0.24,0.068
000028.SZ_pro_bar.csv,16,2.03%,43.75%,22.37%,-9.95%,2.62,1.146
000029.SZ_pro_bar.csv,5,14.38%,100.00%,39.28%,0.56%,0.144,0.144
000030.SZ_pro_bar.csv,14,-3.19%,7.14%,19.70%,-20.06%,3.978,0.284
000031.SZ_pro_bar.csv,10,0.11%,50.00%,11.43%,-11.25%,1.036,0.518
000032.SZ_pro_bar.csv,15,-0.06%,33.33%,26.68%,-15.62%,1.973,0.658
000034.SZ_pro_bar.csv,19,1.18%,47.37%,11.84%,-8.58%,1.621,0.768
000035.SZ_pro_bar.csv,11,-3.78%,18.18%,4.95%,-12.22%,0.734,0.133
000036.SZ_pro_bar.csv,19,2.35%,42.11%,32.78%,-10.83%,2.655,1.118
000037.SZ_pro_bar.csv,7,-2.39%,14.29%,7.69%,-7.58%,1.891,0.27
000039.SZ_pro_bar.csv,26,2.82%,53.85%,22.69%,-4.89%,2.861,1.541
000042.SZ_pro_bar.csv,14,-1.43%,57.14%,6.42%,-12.46%,0.309,0.177
000045.SZ_pro_bar.csv,12,-4.69%,25.00%,6.98%,-24.87%,0.421,0.105
000048.SZ_pro_bar.csv,16,2.57%,37.50%,34.58%,-8.12%,3.22,1.208
000049.SZ_pro_bar.csv,11,8.47%,81.82%,36.14%,-11.31%,1.987,1.626
000050.SZ_pro_bar.csv,22,-2.20%,40.91%,11.51%,-10.95%,0.634,0.259
000055.SZ_pro_bar.csv,12,-0.25%,41.67%,17.77%,-11.90%,1.266,0.528
000056.SZ_pro_bar.csv,9,-3.63%,22.22%,16.67%,-13.30%,1.211,0.269
000058.SZ_pro_bar.csv,7,-2.16%,14.29%,7.89%,-7.15%,2.056,0.294
000059.SZ_pro_bar.csv,16,-0.89%,37.50%,14.59%,-14.72%,1.23,0.461
000060.SZ_pro_bar.csv,12,3.80%,58.33%,32.24%,-7.77%,1.725,1.006
000061.SZ_pro_bar.csv,13,-1.82%,23.08%,8.26%,-7.49%,1.335,0.308
000062.SZ_pro_bar.csv,14,0.88%,42.86%,17.91%,-10.40%,1.798,0.771
000063.SZ_pro_bar.csv,22,1.27%,40.91%,25.87%,-14.88%,2.105,0.861
000065.SZ_pro_bar.csv,11,1.44%,36.36%,22.19%,-8.00%,2.604,0.947
000066.SZ_pro_bar.csv,9,2.91%,55.56%,24.89%,-5.47%,2.106,1.17
000068.SZ_pro_bar.csv,5,-0.64%,40.00%,4.00%,-4.03%,0.921,0.369
000069.SZ_pro_bar.csv,18,-1.18%,11.11%,13.69%,-8.10%,4.467,0.496
000070.SZ_pro_bar.csv,14,-3.86%,42.86%,7.91%,-32.51%,0.361,0.155
000078.SZ_pro_bar.csv,10,-1.60%,30.00%,5.94%,-13.08%,0.681,0.204
000088.SZ_pro_bar.csv,9,-1.71%,33.33%,5.72%,-10.53%,0.898,0.299
000089.SZ_pro_bar.csv,10,2.18%,60.00%,12.39%,-1.93%,3.256,1.954
000090.SZ_pro_bar.csv,9,4.01%,33.33%,42.92%,-12.63%,4.479,1.493
000096.SZ_pro_bar.csv,10,15.62%,40.00%,158.28%,-12.50%,8.99,3.596
000099.SZ_pro_bar.csv,12,0.49%,16.67%,30.40%,-10.57%,5.05,0.842
000100.SZ_pro_bar.csv,16,3.04%,31.25%,41.03%,-7.89%,4.941,1.544
000151.SZ_pro_bar.csv,14,-0.57%,35.71%,24.59%,-16.08%,1.577,0.563
000153.SZ_pro_bar.csv,15,-2.46%,20.00%,8.96%,-10.04%,0.972,0.194
000155.SZ_pro_bar.csv,10,-1.08%,20.00%,43.02%,-17.71%,3.228,0.646
