代码,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,平均盈亏比
000001.SZ_pro_bar,0,None,None,None,None,,
000002.SZ_pro_bar,0,None,None,None,None,,
000004.SZ_pro_bar,1,-4.46%,0.00%,-4.46%,-4.46%,0.0,0.0
000006.SZ_pro_bar,5,-3.25%,0.00%,0.00%,-11.88%,0.0,0.0
000007.SZ_pro_bar,0,None,None,None,None,,
000008.SZ_pro_bar,4,0.38%,50.00%,5.33%,-4.53%,1.254,0.279
000009.SZ_pro_bar,2,2.93%,100.00%,5.70%,0.16%,1.029,0.294
000010.SZ_pro_bar,1,0.87%,100.00%,0.87%,0.00%,1.009,0.168
000011.SZ_pro_bar,5,-0.28%,40.00%,4.30%,-3.54%,1.184,0.237
000012.SZ_pro_bar,3,2.56%,66.67%,4.41%,0.00%,1.038,0.26
000014.SZ_pro_bar,7,3.07%,57.14%,15.15%,-1.92%,5.657,1.886
000016.SZ_pro_bar,0,None,None,None,None,,
000017.SZ_pro_bar,4,-0.59%,25.00%,2.47%,-1.84%,1.538,0.171
000019.SZ_pro_bar,5,-1.05%,20.00%,3.95%,-3.99%,1.716,0.172
000020.SZ_pro_bar,6,-1.99%,16.67%,7.52%,-5.28%,1.933,0.176
000021.SZ_pro_bar,0,None,None,None,None,,
000025.SZ_pro_bar,0,None,None,None,None,,
000026.SZ_pro_bar,4,3.13%,75.00%,6.35%,-0.54%,8.11,2.703
000027.SZ_pro_bar,2,-2.06%,0.00%,-0.80%,-3.33%,0.0,0.0
000028.SZ_pro_bar,1,5.71%,100.00%,5.71%,0.00%,1.057,0.176
000029.SZ_pro_bar,5,1.35%,40.00%,6.40%,-1.79%,5.019,1.004
000030.SZ_pro_bar,0,None,None,None,None,,
000031.SZ_pro_bar,2,1.28%,50.00%,2.56%,0.00%,1.026,0.147
000032.SZ_pro_bar,3,-0.66%,0.00%,0.00%,-1.03%,0.0,0.0
000034.SZ_pro_bar,2,0.13%,50.00%,1.61%,-1.36%,1.184,0.169
000035.SZ_pro_bar,1,2.10%,100.00%,2.10%,0.00%,1.021,0.17
000036.SZ_pro_bar,0,None,None,None,None,,
