ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000506.SZ,20050104,2.5,2.53,2.4,2.46,2.5,-0.04,-1.6,28010.66,6892.6623
000506.SZ,20050105,2.48,2.65,2.45,2.56,2.46,0.1,4.07,46516.01,11928.7835
000506.SZ,20050106,2.6,2.6,2.47,2.53,2.56,-0.03,-1.17,32298.06,8119.6963
000506.SZ,20050107,2.53,2.58,2.5,2.58,2.53,0.05,1.98,52963.22,13481.9957
000506.SZ,20050110,2.51,2.61,2.51,2.6,2.58,0.02,0.78,28861.51,7454.5797
000506.SZ,20050111,2.58,2.61,2.54,2.6,2.6,0.0,0.0,25570.16,6577.4091
000506.SZ,20050112,2.62,2.67,2.59,2.64,2.6,0.04,1.54,57023.9,15031.4311
000506.SZ,20050113,2.63,2.64,2.55,2.61,2.64,-0.03,-1.14,36740.6,9534.2424
000506.SZ,20050114,2.62,2.63,2.52,2.53,2.61,-0.08,-3.07,28682.41,7347.9811
000506.SZ,20050117,2.48,2.52,2.4,2.42,2.53,-0.11,-4.35,54110.96,13251.5143
000506.SZ,20050118,2.42,2.66,2.42,2.66,2.42,0.24,9.92,122162.52,31560.1
000506.SZ,20050119,2.7,2.83,2.66,2.72,2.66,0.06,2.26,239402.99,65601.9947
000506.SZ,20050120,2.75,2.99,2.73,2.94,2.72,0.22,8.09,297264.68,85331.0102
000506.SZ,20050121,2.9,2.97,2.79,2.91,2.94,-0.03,-1.02,177618.17,51184.8123
000506.SZ,20050124,3.0,3.01,2.84,2.93,2.91,0.02,0.69,119933.6,35045.5071
000506.SZ,20050125,2.9,2.92,2.84,2.9,2.93,-0.03,-1.02,72699.91,20958.6586
000506.SZ,20050126,2.9,2.9,2.77,2.81,2.9,-0.09,-3.1,81165.68,22925.4544
000506.SZ,20050127,2.81,2.87,2.78,2.81,2.81,0.0,0.0,76072.99,21466.1723
000506.SZ,20050128,2.8,2.82,2.53,2.53,2.81,-0.28,-9.96,149145.06,38793.0196
000506.SZ,20050131,2.41,2.57,2.4,2.47,2.53,-0.06,-2.37,58932.48,14675.9595
000506.SZ,20050201,2.47,2.57,2.28,2.3,2.47,-0.17,-6.88,82313.31,19918.7273
000506.SZ,20050202,2.3,2.48,2.27,2.46,2.3,0.16,6.96,75117.99,17909.0407
000506.SZ,20050203,2.45,2.53,2.39,2.41,2.46,-0.05,-2.03,73025.91,17950.7747
000506.SZ,20050204,2.39,2.44,2.35,2.4,2.41,-0.01,-0.41,53245.21,12714.8677
000506.SZ,20050216,2.4,2.54,2.4,2.51,2.4,0.11,4.58,55113.47,13764.0638
000506.SZ,20050217,2.5,2.59,2.46,2.56,2.51,0.05,1.99,56313.06,14329.4826
000506.SZ,20050218,2.55,2.67,2.53,2.64,2.56,0.08,3.13,95580.5,25000.6042
000506.SZ,20050221,2.64,2.72,2.61,2.67,2.64,0.03,1.14,106604.6,28427.9936
000506.SZ,20050222,2.65,2.72,2.59,2.69,2.67,0.02,0.75,118736.51,31600.4578
000506.SZ,20050223,2.69,2.71,2.63,2.68,2.69,-0.01,-0.37,64027.32,17094.2395
000506.SZ,20050224,2.66,2.77,2.64,2.74,2.68,0.06,2.24,94120.11,25670.2817
000506.SZ,20050225,2.73,2.74,2.65,2.67,2.74,-0.07,-2.55,72152.3,19440.8443
000506.SZ,20050228,2.65,2.71,2.63,2.66,2.67,-0.01,-0.37,44745.64,11920.5004
000506.SZ,20050301,2.63,2.67,2.57,2.64,2.66,-0.02,-0.75,52215.82,13632.4091
000506.SZ,20050302,2.66,2.73,2.62,2.62,2.64,-0.02,-0.76,66654.35,17912.3656
000506.SZ,20050303,2.62,2.65,2.5,2.64,2.62,0.02,0.76,38467.62,9959.5897
000506.SZ,20050304,2.66,2.68,2.61,2.62,2.64,-0.02,-0.76,28206.08,7451.5379
000506.SZ,20050307,2.62,2.66,2.6,2.61,2.62,-0.01,-0.38,17627.74,4623.0228
000506.SZ,20050308,2.66,2.69,2.6,2.68,2.61,0.07,2.68,42335.19,11268.4051
000506.SZ,20050309,2.68,2.76,2.63,2.73,2.68,0.05,1.87,92131.33,24996.3097
000506.SZ,20050310,2.73,2.73,2.57,2.59,2.73,-0.14,-5.13,51788.66,13680.0543
000506.SZ,20050311,2.61,2.67,2.58,2.59,2.59,0.0,0.0,35710.33,9382.8552
000506.SZ,20050314,2.56,2.59,2.48,2.5,2.59,-0.09,-3.47,46779.42,11785.154
000506.SZ,20050315,2.53,2.54,2.49,2.51,2.5,0.01,0.4,25053.61,6293.4861
000506.SZ,20050316,2.51,2.52,2.45,2.49,2.51,-0.02,-0.8,22913.44,5682.1068
000506.SZ,20050317,2.49,2.51,2.43,2.44,2.49,-0.05,-2.01,23524.09,5776.9259
000506.SZ,20050318,2.45,2.46,2.33,2.34,2.44,-0.1,-4.1,34509.99,8228.1958
000506.SZ,20050321,2.34,2.39,2.32,2.36,2.34,0.02,0.85,15901.58,3749.3081
000506.SZ,20050322,2.35,2.35,2.19,2.23,2.36,-0.13,-5.51,44544.51,10022.7529
000506.SZ,20050323,2.22,2.28,2.17,2.23,2.23,0.0,0.0,26894.47,6007.4588
000506.SZ,20050324,2.23,2.3,2.22,2.3,2.23,0.07,3.14,22388.19,5080.7332
000506.SZ,20050325,2.3,2.3,2.24,2.26,2.3,-0.04,-1.74,16288.97,3696.5341
000506.SZ,20050328,2.25,2.26,2.17,2.25,2.26,-0.01,-0.44,17512.71,3880.4181
000506.SZ,20050329,2.24,2.28,2.22,2.23,2.25,-0.02,-0.89,17118.88,3851.782
000506.SZ,20050330,2.2,2.21,2.08,2.11,2.23,-0.12,-5.38,42715.52,9106.0932
000506.SZ,20050331,2.09,2.2,2.08,2.18,2.11,0.07,3.32,39358.68,8437.1983
000506.SZ,20050401,2.18,2.27,2.1,2.23,2.18,0.05,2.29,46824.95,10236.0463
000506.SZ,20050404,2.2,2.21,2.13,2.16,2.23,-0.07,-3.14,29431.48,6408.2807
000506.SZ,20050405,2.16,2.2,2.11,2.16,2.16,0.0,0.0,28638.03,6177.3184
000506.SZ,20050406,2.14,2.19,2.1,2.17,2.16,0.01,0.46,28473.83,6096.7798
000506.SZ,20050407,2.1,2.18,2.07,2.15,2.17,-0.02,-0.92,113949.83,24176.4788
000506.SZ,20050408,2.13,2.16,2.09,2.14,2.15,-0.01,-0.47,76614.2,16228.3987
000506.SZ,20050411,2.13,2.28,2.11,2.23,2.14,0.09,4.21,107743.21,23772.102
000506.SZ,20050412,2.21,2.21,2.13,2.13,2.23,-0.1,-4.48,47581.45,10287.9026
000506.SZ,20050413,2.12,2.17,2.12,2.17,2.13,0.04,1.88,49993.55,10749.535
000506.SZ,20050414,2.14,2.17,2.07,2.09,2.17,-0.08,-3.69,54115.56,11450.8727
000506.SZ,20050415,2.07,2.07,1.88,1.91,2.09,-0.18,-8.61,107156.88,20849.7544
000506.SZ,20050418,1.86,1.97,1.85,1.93,1.91,0.02,1.05,56184.24,10830.4739
000506.SZ,20050419,1.9,2.02,1.86,1.96,1.93,0.03,1.55,72483.04,14037.1482
000506.SZ,20050420,1.93,1.95,1.86,1.87,1.96,-0.09,-4.59,44371.25,8429.4555
000506.SZ,20050421,1.85,1.89,1.75,1.76,1.87,-0.11,-5.88,56483.77,10133.4771
