filename,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,平均盈亏比
000001.SZ_平安银行.csv,2,-5.41%,0.00%,-4.08%,-6.75%,0.0,0.0
000002.SZ_万科A.csv,0,N/A,N/A,N/A,N/A,,
000006.SZ_深振业A.csv,0,N/A,N/A,N/A,N/A,,
000007.SZ_全新好.csv,0,N/A,N/A,N/A,N/A,,
000008.SZ_神州高铁.csv,0,N/A,N/A,N/A,N/A,,
000009.SZ_中国宝安.csv,0,N/A,N/A,N/A,N/A,,
000010.SZ_美丽生态.csv,1,-12.39%,0.00%,-12.39%,-12.39%,0.0,0.0
000011.SZ_深物业A.csv,0,N/A,N/A,N/A,N/A,,
000012.SZ_南玻A.csv,4,-5.11%,0.00%,-2.40%,-7.78%,0.0,0.0
000014.SZ_沙河股份.csv,3,-5.43%,0.00%,-2.48%,-11.16%,0.0,0.0
000016.SZ_深康佳A.csv,0,N/A,N/A,N/A,N/A,,
000017.SZ_深中华A.csv,1,-1.40%,0.00%,-1.40%,-1.40%,0.0,0.0
000019.SZ_深粮控股.csv,0,N/A,N/A,N/A,N/A,,
000020.SZ_深华发A.csv,0,N/A,N/A,N/A,N/A,,
000021.SZ_深科技.csv,4,-4.19%,0.00%,-1.50%,-6.79%,0.0,0.0
000025.SZ_特力A.csv,0,N/A,N/A,N/A,N/A,,
000026.SZ_飞亚达.csv,2,-1.26%,0.00%,-0.86%,-1.66%,0.0,0.0
000027.SZ_深圳能源.csv,0,N/A,N/A,N/A,N/A,,
000028.SZ_国药一致.csv,1,0.80%,100.00%,0.80%,0.80%,0.008,0.008
000029.SZ_深深房A.csv,0,N/A,N/A,N/A,N/A,,
000030.SZ_富奥股份.csv,0,N/A,N/A,N/A,N/A,,
000031.SZ_大悦城.csv,0,N/A,N/A,N/A,N/A,,
000032.SZ_深桑达A.csv,1,3.98%,100.00%,3.98%,3.98%,0.04,0.04
000034.SZ_神州数码.csv,0,N/A,N/A,N/A,N/A,,
000035.SZ_中国天楹.csv,0,N/A,N/A,N/A,N/A,,
000036.SZ_华联控股.csv,2,27.92%,100.00%,28.85%,26.99%,0.279,0.279
000037.SZ_深南电A.csv,0,N/A,N/A,N/A,N/A,,
000039.SZ_中集集团.csv,0,N/A,N/A,N/A,N/A,,
000042.SZ_中洲控股.csv,0,N/A,N/A,N/A,N/A,,
000045.SZ_深纺织A.csv,0,N/A,N/A,N/A,N/A,,
000048.SZ_京基智农.csv,0,N/A,N/A,N/A,N/A,,
000049.SZ_德赛电池.csv,1,0.44%,100.00%,0.44%,0.44%,0.004,0.004
000050.SZ_深天马A.csv,1,-1.10%,0.00%,-1.10%,-1.10%,0.0,0.0
000055.SZ_方大集团.csv,0,N/A,N/A,N/A,N/A,,
000056.SZ_皇庭国际.csv,1,-2.14%,0.00%,-2.14%,-2.14%,0.0,0.0
000058.SZ_深赛格.csv,1,-8.79%,0.00%,-8.79%,-8.79%,0.0,0.0
000059.SZ_华锦股份.csv,1,-3.84%,0.00%,-3.84%,-3.84%,0.0,0.0
000060.SZ_中金岭南.csv,0,N/A,N/A,N/A,N/A,,
000061.SZ_农产品.csv,0,N/A,N/A,N/A,N/A,,
000062.SZ_深圳华强.csv,2,-3.37%,0.00%,-2.12%,-4.62%,0.0,0.0
000063.SZ_中兴通讯.csv,0,N/A,N/A,N/A,N/A,,
000065.SZ_北方国际.csv,2,1.67%,50.00%,3.91%,-0.57%,6.802,3.401
000066.SZ_中国长城.csv,4,16.13%,50.00%,36.93%,-5.67%,8.987,4.493
000068.SZ_华控赛格.csv,0,N/A,N/A,N/A,N/A,,
000069.SZ_华侨城A.csv,0,N/A,N/A,N/A,N/A,,
000070.SZ_ST特信.csv,1,-0.16%,0.00%,-0.16%,-0.16%,0.0,0.0
000078.SZ_海王生物.csv,0,N/A,N/A,N/A,N/A,,
000088.SZ_盐田港.csv,0,N/A,N/A,N/A,N/A,,
000089.SZ_深圳机场.csv,0,N/A,N/A,N/A,N/A,,
000090.SZ_天健集团.csv,0,N/A,N/A,N/A,N/A,,
000096.SZ_广聚能源.csv,0,N/A,N/A,N/A,N/A,,
000099.SZ_中信海直.csv,1,-2.99%,0.00%,-2.99%,-2.99%,0.0,0.0
000100.SZ_TCL科技.csv,1,-50.00%,0.00%,-50.00%,-50.00%,0.0,0.0
000151.SZ_中成股份.csv,0,N/A,N/A,N/A,N/A,,
000153.SZ_丰原药业.csv,3,-7.81%,0.00%,-7.35%,-8.63%,0.0,0.0
000155.SZ_川能动力.csv,0,N/A,N/A,N/A,N/A,,
000156.SZ_华数传媒.csv,2,-9.77%,0.00%,-8.77%,-10.77%,0.0,0.0
000157.SZ_中联重科.csv,2,-0.93%,0.00%,-0.75%,-1.11%,0.0,0.0
000158.SZ_常山北明.csv,1,-4.54%,0.00%,-4.54%,-4.54%,0.0,0.0
000159.SZ_国际实业.csv,0,N/A,N/A,N/A,N/A,,
000166.SZ_申万宏源.csv,0,N/A,N/A,N/A,N/A,,
000301.SZ_东方盛虹.csv,0,N/A,N/A,N/A,N/A,,
000333.SZ_美的集团.csv,0,N/A,N/A,N/A,N/A,,
000338.SZ_潍柴动力.csv,1,1.88%,100.00%,1.88%,1.88%,0.019,0.019
000400.SZ_许继电气.csv,0,N/A,N/A,N/A,N/A,,
000401.SZ_冀东水泥.csv,1,9.91%,100.00%,9.91%,9.91%,0.099,0.099
000402.SZ_金融街.csv,0,N/A,N/A,N/A,N/A,,
000403.SZ_派林生物.csv,0,N/A,N/A,N/A,N/A,,
000404.SZ_长虹华意.csv,0,N/A,N/A,N/A,N/A,,
000407.SZ_胜利股份.csv,0,N/A,N/A,N/A,N/A,,
000408.SZ_藏格矿业.csv,1,5.96%,100.00%,5.96%,5.96%,0.06,0.06
000409.SZ_云鼎科技.csv,3,25.46%,100.00%,29.59%,23.13%,0.255,0.255
000410.SZ_沈阳机床.csv,3,-0.13%,33.33%,15.22%,-12.30%,1.951,0.65
000411.SZ_英特集团.csv,0,N/A,N/A,N/A,N/A,,
000415.SZ_渤海租赁.csv,0,N/A,N/A,N/A,N/A,,
000417.SZ_合百集团.csv,0,N/A,N/A,N/A,N/A,,
000419.SZ_通程控股.csv,0,N/A,N/A,N/A,N/A,,
000420.SZ_吉林化纤.csv,0,N/A,N/A,N/A,N/A,,
000421.SZ_南京公用.csv,0,N/A,N/A,N/A,N/A,,
000422.SZ_湖北宜化.csv,0,N/A,N/A,N/A,N/A,,
000423.SZ_东阿阿胶.csv,1,-6.49%,0.00%,-6.49%,-6.49%,0.0,0.0
000425.SZ_徐工机械.csv,1,-6.05%,0.00%,-6.05%,-6.05%,0.0,0.0
000426.SZ_兴业银锡.csv,1,1.30%,100.00%,1.30%,1.30%,0.013,0.013
000428.SZ_华天酒店.csv,1,-7.78%,0.00%,-7.78%,-7.78%,0.0,0.0
000429.SZ_粤高速A.csv,0,N/A,N/A,N/A,N/A,,
000498.SZ_山东路桥.csv,0,N/A,N/A,N/A,N/A,,
000501.SZ_武商集团.csv,1,0.32%,100.00%,0.32%,0.32%,0.003,0.003
000503.SZ_国新健康.csv,0,N/A,N/A,N/A,N/A,,
000505.SZ_京粮控股.csv,0,N/A,N/A,N/A,N/A,,
000506.SZ_中润资源.csv,0,N/A,N/A,N/A,N/A,,
000507.SZ_珠海港.csv,0,N/A,N/A,N/A,N/A,,
000509.SZ_华塑控股.csv,2,-4.40%,0.00%,-3.95%,-4.86%,0.0,0.0
000510.SZ_新金路.csv,2,-7.22%,0.00%,-6.60%,-7.85%,0.0,0.0
000513.SZ_丽珠集团.csv,0,N/A,N/A,N/A,N/A,,
000514.SZ_渝开发.csv,0,N/A,N/A,N/A,N/A,,
000516.SZ_国际医学.csv,0,N/A,N/A,N/A,N/A,,
000517.SZ_荣安地产.csv,1,26.65%,100.00%,26.65%,26.65%,0.267,0.267
000519.SZ_中兵红箭.csv,0,N/A,N/A,N/A,N/A,,
000520.SZ_凤凰航运.csv,1,-4.72%,0.00%,-4.72%,-4.72%,0.0,0.0
000521.SZ_长虹美菱.csv,2,-2.85%,0.00%,-1.53%,-4.17%,0.0,0.0
000523.SZ_红棉股份.csv,1,-5.06%,0.00%,-5.06%,-5.06%,0.0,0.0
000524.SZ_岭南控股.csv,0,N/A,N/A,N/A,N/A,,
000525.SZ_ST红太阳.csv,1,-4.07%,0.00%,-4.07%,-4.07%,0.0,0.0
000526.SZ_学大教育.csv,1,21.53%,100.00%,21.53%,21.53%,0.215,0.215
000528.SZ_柳工.csv,1,-15.07%,0.00%,-15.07%,-15.07%,0.0,0.0
000529.SZ_广弘控股.csv,1,-5.08%,0.00%,-5.08%,-5.08%,0.0,0.0
000530.SZ_冰山冷热.csv,0,N/A,N/A,N/A,N/A,,
000531.SZ_穗恒运A.csv,0,N/A,N/A,N/A,N/A,,
000532.SZ_华金资本.csv,0,N/A,N/A,N/A,N/A,,
000533.SZ_顺钠股份.csv,0,N/A,N/A,N/A,N/A,,
000534.SZ_万泽股份.csv,0,N/A,N/A,N/A,N/A,,
000536.SZ_华映科技.csv,2,-4.47%,0.00%,-4.19%,-4.75%,0.0,0.0
000537.SZ_中绿电.csv,2,-11.49%,0.00%,-9.26%,-13.73%,0.0,0.0
000538.SZ_云南白药.csv,0,N/A,N/A,N/A,N/A,,
000539.SZ_粤电力A.csv,0,N/A,N/A,N/A,N/A,,
000541.SZ_佛山照明.csv,3,-4.59%,0.00%,-0.18%,-9.10%,0.0,0.0
000543.SZ_皖能电力.csv,0,N/A,N/A,N/A,N/A,,
000544.SZ_中原环保.csv,0,N/A,N/A,N/A,N/A,,
000545.SZ_金浦钛业.csv,0,N/A,N/A,N/A,N/A,,
000546.SZ_金圆股份.csv,0,N/A,N/A,N/A,N/A,,
000547.SZ_航天发展.csv,0,N/A,N/A,N/A,N/A,,
000548.SZ_湖南投资.csv,0,N/A,N/A,N/A,N/A,,
000550.SZ_江铃汽车.csv,0,N/A,N/A,N/A,N/A,,
000551.SZ_创元科技.csv,0,N/A,N/A,N/A,N/A,,
000552.SZ_甘肃能化.csv,0,N/A,N/A,N/A,N/A,,
000553.SZ_安道麦A.csv,1,-4.38%,0.00%,-4.38%,-4.38%,0.0,0.0
000554.SZ_泰山石油.csv,1,-3.19%,0.00%,-3.19%,-3.19%,0.0,0.0
000555.SZ_神州信息.csv,1,19.29%,100.00%,19.29%,19.29%,0.193,0.193
000557.SZ_西部创业.csv,0,N/A,N/A,N/A,N/A,,
000558.SZ_天府文旅.csv,3,-5.48%,0.00%,-3.99%,-6.33%,0.0,0.0
000559.SZ_万向钱潮.csv,0,N/A,N/A,N/A,N/A,,
000560.SZ_我爱我家.csv,0,N/A,N/A,N/A,N/A,,
000561.SZ_烽火电子.csv,1,-0.26%,0.00%,-0.26%,-0.26%,0.0,0.0
000563.SZ_陕国投A.csv,0,N/A,N/A,N/A,N/A,,
000564.SZ_供销大集.csv,1,-3.55%,0.00%,-3.55%,-3.55%,0.0,0.0
000565.SZ_渝三峡A.csv,0,N/A,N/A,N/A,N/A,,
000566.SZ_海南海药.csv,1,2.02%,100.00%,2.02%,2.02%,0.02,0.02
000567.SZ_海德股份.csv,1,-2.05%,0.00%,-2.05%,-2.05%,0.0,0.0
