ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600272.SH,20050104,3.79,4.02,3.77,3.99,4.17,-0.18,-4.32,10067.85,3958.636
600272.SH,20050105,3.95,4.1,3.91,4.07,3.99,0.08,2.01,7240.72,2914.544
600272.SH,20050106,4.05,4.05,3.98,4.0,4.07,-0.07,-1.72,3645.62,1463.567
600272.SH,20050107,4.01,4.1,4.0,4.07,4.0,0.07,1.75,3821.0,1547.52
600272.SH,20050110,4.05,4.12,4.0,4.12,4.07,0.05,1.23,3014.83,1225.464
600272.SH,20050111,4.1,4.12,4.03,4.1,4.12,-0.02,-0.49,3347.5,1366.604
600272.SH,20050112,4.07,4.1,4.03,4.08,4.1,-0.02,-0.49,2795.49,1135.15
600272.SH,20050113,4.05,4.13,4.05,4.12,4.08,0.04,0.98,3049.69,1250.889
600272.SH,20050114,4.12,4.16,4.06,4.07,4.12,-0.05,-1.21,3141.0,1288.471
600272.SH,20050117,4.0,4.03,3.93,3.97,4.07,-0.1,-2.46,3168.59,1259.105
600272.SH,20050118,3.97,4.06,3.95,4.04,3.97,0.07,1.76,3268.01,1301.993
600272.SH,20050119,3.8,3.96,3.7,3.95,4.04,-0.09,-2.23,10044.03,3887.706
600272.SH,20050121,3.92,3.92,3.56,3.65,3.95,-0.3,-7.59,32884.62,11844.309
600272.SH,20050124,3.69,3.85,3.65,3.78,3.65,0.13,3.56,30602.13,11441.546
600272.SH,20050125,3.75,3.76,3.63,3.72,3.78,-0.06,-1.59,19167.42,7072.199
600272.SH,20050126,3.51,3.64,3.41,3.62,3.72,-0.1,-2.69,13942.5,5019.871
600272.SH,20050127,3.61,3.62,3.45,3.6,3.62,-0.02,-0.55,21559.63,7571.021
600272.SH,20050128,3.57,3.58,3.4,3.41,3.6,-0.19,-5.28,15463.14,5391.607
600272.SH,20050131,3.25,3.28,3.12,3.17,3.41,-0.24,-7.04,15638.94,4985.966
600272.SH,20050201,3.14,3.23,3.01,3.03,3.17,-0.14,-4.42,9951.79,3096.728
600272.SH,20050202,3.02,3.33,3.02,3.33,3.03,0.3,9.9,19475.54,6261.264
600272.SH,20050203,3.35,3.42,3.3,3.35,3.33,0.02,0.6,41235.97,13864.397
600272.SH,20050204,3.33,3.33,3.1,3.23,3.35,-0.12,-3.58,19526.7,6253.776
600272.SH,20050216,3.21,3.37,3.18,3.35,3.23,0.12,3.72,15105.5,4999.404
600272.SH,20050217,3.34,3.4,3.28,3.4,3.35,0.05,1.49,10464.8,3504.909
600272.SH,20050218,3.4,3.4,3.28,3.34,3.4,-0.06,-1.76,8856.15,2959.125
600272.SH,20050221,3.33,3.4,3.3,3.37,3.34,0.03,0.9,7940.89,2673.182
600272.SH,20050222,3.37,3.49,3.36,3.46,3.37,0.09,2.67,17956.71,6174.948
600272.SH,20050223,3.42,3.81,3.38,3.81,3.46,0.35,10.12,44239.65,16083.812
600272.SH,20050224,3.79,3.79,3.63,3.73,3.81,-0.08,-2.1,37895.41,14070.113
600272.SH,20050225,3.72,3.79,3.65,3.67,3.73,-0.06,-1.61,20838.75,7714.835
600272.SH,20050228,3.67,3.94,3.62,3.91,3.67,0.24,6.54,47923.42,18348.012
600272.SH,20050301,3.91,3.91,3.74,3.78,3.91,-0.13,-3.32,23035.37,8770.584
600272.SH,20050302,3.77,3.81,3.7,3.71,3.78,-0.07,-1.85,11558.4,4328.134
600272.SH,20050303,3.73,3.77,3.62,3.74,3.71,0.03,0.81,9060.39,3364.121
600272.SH,20050304,3.74,3.78,3.65,3.65,3.74,-0.09,-2.41,6998.0,2585.676
600272.SH,20050307,3.63,3.68,3.5,3.54,3.65,-0.11,-3.01,10784.51,3852.578
600272.SH,20050308,3.54,3.66,3.54,3.66,3.54,0.12,3.39,9743.96,3504.372
600272.SH,20050309,3.68,3.69,3.62,3.66,3.66,0.0,0.0,10407.26,3803.634
600272.SH,20050310,3.66,3.7,3.3,3.45,3.66,-0.21,-5.74,12389.5,4369.627
600272.SH,20050311,3.44,3.48,3.4,3.46,3.45,0.01,0.29,10965.5,3753.188
600272.SH,20050314,3.47,3.48,3.31,3.36,3.46,-0.1,-2.89,7846.16,2641.899
600272.SH,20050315,3.35,3.57,3.28,3.45,3.36,0.09,2.68,11976.05,4107.962
600272.SH,20050316,3.46,3.5,3.37,3.45,3.45,0.0,0.0,7710.68,2658.242
600272.SH,20050317,3.45,3.46,3.29,3.31,3.45,-0.14,-4.06,6845.75,2293.868
600272.SH,20050318,3.32,3.38,3.2,3.2,3.31,-0.11,-3.32,6052.0,1988.432
600272.SH,20050321,3.24,3.31,3.22,3.26,3.2,0.06,1.88,4326.98,1414.225
600272.SH,20050322,3.29,3.29,3.01,3.06,3.26,-0.2,-6.14,7210.18,2237.609
600272.SH,20050323,3.09,3.12,3.0,3.07,3.06,0.01,0.33,4696.69,1437.268
600272.SH,20050324,3.08,3.17,3.02,3.17,3.07,0.1,3.26,4185.25,1291.206
600272.SH,20050325,3.17,3.19,3.1,3.13,3.17,-0.04,-1.26,3556.5,1116.863
600272.SH,20050328,3.0,3.1,2.91,3.05,3.13,-0.08,-2.56,9163.19,2732.448
600272.SH,20050329,3.01,3.07,3.0,3.02,3.05,-0.03,-0.98,5677.05,1721.872
600272.SH,20050330,2.96,3.0,2.87,2.88,3.02,-0.14,-4.64,5894.16,1722.586
600272.SH,20050331,2.86,2.95,2.78,2.93,2.88,0.05,1.74,6270.13,1781.529
600272.SH,20050401,2.88,3.05,2.83,3.0,2.93,0.07,2.39,9779.89,2872.732
600272.SH,20050404,2.7,2.89,2.7,2.82,3.0,-0.18,-6.0,23552.29,6590.873
600272.SH,20050405,2.76,3.05,2.7,2.88,2.82,0.06,2.13,26087.99,7464.156
600272.SH,20050406,2.82,2.87,2.72,2.83,2.88,-0.05,-1.74,14527.18,4060.885
600272.SH,20050407,2.83,2.96,2.76,2.89,2.83,0.06,2.12,17195.11,4949.352
600272.SH,20050408,2.85,2.92,2.84,2.92,2.89,0.03,1.04,11193.63,3235.378
600272.SH,20050411,2.94,3.21,2.9,3.21,2.92,0.29,9.93,29617.54,9264.347
600272.SH,20050412,3.34,3.34,3.02,3.04,3.21,-0.17,-5.3,36960.54,11797.238
600272.SH,20050413,2.98,3.22,2.98,3.19,3.04,0.15,4.93,19663.21,6144.811
600272.SH,20050414,3.15,3.18,3.03,3.05,3.19,-0.14,-4.39,9162.0,2834.765
600272.SH,20050415,3.05,3.15,3.0,3.05,3.05,0.0,0.0,9489.02,2921.585
600272.SH,20050418,3.0,3.0,2.75,2.76,3.05,-0.29,-9.51,14391.5,4052.404
600272.SH,20050419,2.76,2.83,2.71,2.8,2.76,0.04,1.45,6059.0,1679.311
600272.SH,20050421,2.52,2.69,2.52,2.6,2.8,-0.2,-7.14,10228.94,2648.097
600272.SH,20050422,2.55,2.61,2.38,2.42,2.6,-0.18,-6.92,10267.17,2515.182
600272.SH,20050425,2.4,2.4,2.23,2.28,2.42,-0.14,-5.79,7155.8,1628.526
600272.SH,20050426,2.26,2.48,2.26,2.4,2.28,0.12,5.26,7724.17,1823.721
600272.SH,20050428,2.28,2.38,2.16,2.31,2.4,-0.09,-3.75,10472.21,2374.888
600272.SH,20050429,2.26,2.36,2.25,2.3,2.31,-0.01,-0.43,5471.0,1264.575
600272.SH,20050509,2.32,2.32,2.13,2.14,2.3,-0.16,-6.96,3869.0,848.155
