ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600279.SH,20050104,5.4,5.55,5.4,5.51,5.48,0.03,0.55,3846.0,2112.365
600279.SH,20050105,5.49,5.62,5.45,5.59,5.51,0.08,1.45,11220.59,6204.52
600279.SH,20050106,5.55,5.61,5.5,5.57,5.59,-0.02,-0.36,4885.88,2718.475
600279.SH,20050107,5.57,5.65,5.5,5.58,5.57,0.01,0.18,3274.94,1821.615
600279.SH,20050110,5.58,5.64,5.53,5.63,5.58,0.05,0.9,3658.0,2046.593
600279.SH,20050111,5.6,5.66,5.57,5.64,5.63,0.01,0.18,2799.99,1576.362
600279.SH,20050112,5.56,5.65,5.52,5.65,5.64,0.01,0.18,3005.61,1676.185
600279.SH,20050113,5.61,5.68,5.56,5.65,5.65,0.0,0.0,3138.3,1767.067
600279.SH,20050114,5.63,5.8,5.61,5.64,5.65,-0.01,-0.18,7189.53,4099.753
600279.SH,20050117,5.52,5.58,5.4,5.4,5.64,-0.24,-4.26,4733.0,2592.024
600279.SH,20050118,5.41,5.58,5.4,5.55,5.4,0.15,2.78,3033.06,1670.152
600279.SH,20050119,5.5,5.67,5.5,5.62,5.55,0.07,1.26,3918.29,2203.11
600279.SH,20050120,5.62,5.62,5.49,5.58,5.62,-0.04,-0.71,2308.0,1280.017
600279.SH,20050121,5.51,5.72,5.42,5.65,5.58,0.07,1.25,4113.1,2300.921
600279.SH,20050124,5.79,5.85,5.65,5.72,5.65,0.07,1.24,5858.4,3357.355
600279.SH,20050125,5.7,5.7,5.58,5.63,5.72,-0.09,-1.57,2600.39,1464.434
600279.SH,20050126,5.6,5.68,5.52,5.53,5.63,-0.1,-1.78,2725.0,1517.072
600279.SH,20050127,5.53,5.53,5.27,5.29,5.53,-0.24,-4.34,5018.5,2719.315
600279.SH,20050128,5.25,5.26,5.0,5.05,5.29,-0.24,-4.54,10796.66,5487.267
600279.SH,20050131,4.9,5.0,4.86,4.94,5.05,-0.11,-2.18,3621.0,1786.183
600279.SH,20050201,4.9,5.12,4.9,5.0,4.94,0.06,1.21,3598.99,1807.393
600279.SH,20050202,4.98,5.24,4.98,5.22,5.0,0.22,4.4,8088.62,4154.053
600279.SH,20050203,5.22,5.24,5.02,5.02,5.22,-0.2,-3.83,6286.51,3230.688
600279.SH,20050204,5.04,5.22,5.03,5.16,5.02,0.14,2.79,4774.73,2448.252
600279.SH,20050216,5.16,5.3,5.16,5.21,5.16,0.05,0.97,3634.02,1902.195
600279.SH,20050217,5.21,5.21,5.12,5.2,5.21,-0.01,-0.19,2311.11,1193.554
600279.SH,20050218,5.23,5.23,5.14,5.17,5.2,-0.03,-0.58,2244.69,1160.089
600279.SH,20050221,5.17,5.26,5.09,5.25,5.17,0.08,1.55,3560.08,1851.558
600279.SH,20050222,5.25,5.42,5.2,5.4,5.25,0.15,2.86,7932.82,4233.77
600279.SH,20050223,5.45,5.66,5.44,5.53,5.4,0.13,2.41,14543.91,8082.462
600279.SH,20050224,5.53,5.56,5.42,5.52,5.53,-0.01,-0.18,5575.77,3063.116
600279.SH,20050225,5.53,5.63,5.5,5.5,5.52,-0.02,-0.36,7892.5,4395.966
600279.SH,20050228,5.5,5.55,5.45,5.53,5.5,0.03,0.55,3953.65,2179.653
600279.SH,20050301,5.53,5.65,5.51,5.65,5.53,0.12,2.17,4762.6,2656.443
