ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600281.SH,20050104,4.56,4.6,4.51,4.56,4.61,-0.05,-1.08,1054.0,479.326
600281.SH,20050105,4.55,4.65,4.51,4.63,4.56,0.07,1.54,978.0,449.21
600281.SH,20050106,4.63,4.63,4.52,4.56,4.63,-0.07,-1.51,1079.0,491.6
600281.SH,20050107,4.69,4.69,4.51,4.58,4.56,0.02,0.44,804.7,369.079
600281.SH,20050110,4.55,4.6,4.52,4.6,4.58,0.02,0.44,809.91,369.38
600281.SH,20050111,4.6,4.68,4.6,4.67,4.6,0.07,1.52,1372.95,635.671
600281.SH,20050112,4.65,4.65,4.55,4.6,4.67,-0.07,-1.5,703.72,324.409
600281.SH,20050113,4.58,4.62,4.56,4.58,4.6,-0.02,-0.43,1375.0,630.237
600281.SH,20050114,4.58,4.64,4.56,4.57,4.58,-0.01,-0.22,1042.49,478.396
600281.SH,20050117,4.5,4.55,4.41,4.42,4.57,-0.15,-3.28,1837.0,822.732
600281.SH,20050118,4.45,4.46,4.26,4.34,4.42,-0.08,-1.81,4185.93,1806.044
600281.SH,20050119,4.34,4.37,4.26,4.34,4.34,0.0,0.0,1619.95,700.367
600281.SH,20050120,4.29,4.29,4.14,4.18,4.34,-0.16,-3.69,2528.53,1057.571
600281.SH,20050121,4.16,4.3,4.05,4.26,4.18,0.08,1.91,3912.1,1639.99
600281.SH,20050124,4.35,4.41,4.32,4.37,4.26,0.11,2.58,3575.85,1555.913
600281.SH,20050125,4.3,4.43,4.27,4.43,4.37,0.06,1.37,2478.2,1077.876
600281.SH,20050126,4.43,4.43,4.29,4.29,4.43,-0.14,-3.16,1457.0,633.897
600281.SH,20050127,4.27,4.33,4.22,4.22,4.29,-0.07,-1.63,1078.49,458.283
600281.SH,20050128,4.22,4.23,4.1,4.15,4.22,-0.07,-1.66,1413.49,588.923
600281.SH,20050131,4.23,4.29,3.89,3.91,4.15,-0.24,-5.78,3513.0,1418.325
600281.SH,20050201,3.9,3.96,3.8,3.84,3.91,-0.07,-1.79,3280.02,1270.74
600281.SH,20050202,3.92,4.1,3.85,4.08,3.84,0.24,6.25,4943.44,1972.162
600281.SH,20050203,4.1,4.1,3.98,4.07,4.08,-0.01,-0.25,8024.54,3236.582
600281.SH,20050204,4.1,4.23,4.01,4.22,4.07,0.15,3.69,7968.59,3290.308
600281.SH,20050216,4.3,4.45,4.24,4.33,4.22,0.11,2.61,10418.88,4547.893
600281.SH,20050217,4.34,4.34,4.21,4.28,4.33,-0.05,-1.15,3692.64,1573.137
600281.SH,20050218,4.3,4.38,4.25,4.27,4.28,-0.01,-0.23,3132.5,1351.481
600281.SH,20050221,4.27,4.34,4.25,4.32,4.27,0.05,1.17,2722.24,1170.385
600281.SH,20050222,4.33,4.51,4.28,4.47,4.32,0.15,3.47,9211.38,4073.159
600281.SH,20050223,4.49,4.49,4.39,4.42,4.47,-0.05,-1.12,5226.98,2315.564
600281.SH,20050224,4.4,4.44,4.36,4.43,4.42,0.01,0.23,4483.82,1970.985
600281.SH,20050225,4.41,4.56,4.38,4.45,4.43,0.02,0.45,8553.51,3832.447
600281.SH,20050228,4.48,4.56,4.39,4.47,4.45,0.02,0.45,3899.18,1730.931
600281.SH,20050301,4.5,4.5,4.35,4.44,4.47,-0.03,-0.67,4303.9,1902.365
600281.SH,20050302,4.4,4.64,4.4,4.45,4.44,0.01,0.23,12129.99,5524.5
600281.SH,20050303,4.52,4.52,4.4,4.51,4.45,0.06,1.35,3334.1,1487.429
600281.SH,20050304,4.52,4.53,4.44,4.48,4.51,-0.03,-0.67,3837.0,1715.76
600281.SH,20050307,4.51,4.51,4.37,4.4,4.48,-0.08,-1.79,2587.0,1140.922
600281.SH,20050308,4.46,4.55,4.4,4.54,4.4,0.14,3.18,6882.58,3062.191
600281.SH,20050309,4.56,4.68,4.47,4.62,4.54,0.08,1.76,9101.57,4161.765
600281.SH,20050310,4.68,4.68,4.45,4.47,4.62,-0.15,-3.25,8442.87,3847.865
