ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600282.SH,20050104,7.46,7.46,7.13,7.16,7.48,-0.32,-4.28,18224.29,13257.171
600282.SH,20050105,7.18,7.3,7.02,7.2,7.16,0.04,0.56,12562.96,9040.43
600282.SH,20050106,7.23,7.23,7.04,7.15,7.2,-0.05,-0.69,12107.51,8597.347
600282.SH,20050107,7.13,7.24,7.06,7.17,7.15,0.02,0.28,6884.65,4925.392
600282.SH,20050110,7.13,7.26,7.07,7.26,7.17,0.09,1.26,6072.0,4362.157
600282.SH,20050111,7.25,7.26,7.18,7.23,7.26,-0.03,-0.41,7371.0,5322.115
600282.SH,20050112,7.2,7.23,7.1,7.17,7.23,-0.06,-0.83,8327.05,5947.457
600282.SH,20050113,7.15,7.25,7.02,7.18,7.17,0.01,0.14,11608.44,8285.48
600282.SH,20050114,7.18,7.25,7.13,7.17,7.18,-0.01,-0.14,8229.86,5916.559
600282.SH,20050117,6.99,7.1,6.83,6.96,7.17,-0.21,-2.93,31716.76,22051.082
600282.SH,20050118,6.96,6.96,6.79,6.9,6.96,-0.06,-0.86,30864.31,21154.0
600282.SH,20050119,6.88,7.0,6.64,6.89,6.9,-0.01,-0.14,46649.12,31595.48
600282.SH,20050126,6.92,7.13,6.85,6.99,6.89,0.1,1.45,52066.83,36583.584
600282.SH,20050127,6.99,7.05,6.86,6.88,6.99,-0.11,-1.57,17701.26,12300.975
600282.SH,20050128,6.88,6.96,6.83,6.89,6.88,0.01,0.15,12773.45,8786.977
600282.SH,20050131,6.83,6.92,6.77,6.85,6.89,-0.04,-0.58,10935.1,7483.519
600282.SH,20050201,6.81,6.96,6.76,6.78,6.85,-0.07,-1.02,20466.65,14021.364
600282.SH,20050202,6.82,7.3,6.78,7.27,6.78,0.49,7.23,66619.35,47121.907
600282.SH,20050203,7.2,7.28,7.07,7.09,7.27,-0.18,-2.48,50934.69,36394.832
600282.SH,20050204,6.91,7.45,6.84,7.35,7.09,0.26,3.67,382172.3,268922.836
600282.SH,20050216,7.32,7.86,7.26,7.66,7.35,0.31,4.22,204858.64,155325.333
600282.SH,20050217,7.65,7.7,7.53,7.67,7.66,0.01,0.13,79482.3,60549.455
600282.SH,20050218,7.67,7.69,7.39,7.45,7.67,-0.22,-2.87,79826.99,60113.706
600282.SH,20050221,7.45,7.69,7.43,7.61,7.45,0.16,2.15,80735.4,61139.795
600282.SH,20050222,7.63,7.78,7.48,7.72,7.61,0.11,1.45,107257.74,81673.405
600282.SH,20050223,7.72,7.72,7.48,7.56,7.72,-0.16,-2.07,122118.29,92569.911
600282.SH,20050224,7.53,7.66,7.45,7.6,7.56,0.04,0.53,74852.99,56493.606
600282.SH,20050225,7.6,7.79,7.52,7.54,7.6,-0.06,-0.79,100162.65,76809.124
600282.SH,20050228,7.52,7.57,7.4,7.49,7.54,-0.05,-0.66,53662.29,40180.214
600282.SH,20050301,7.41,7.47,7.34,7.38,7.49,-0.11,-1.47,46390.69,34274.989
600282.SH,20050302,7.36,7.44,6.96,7.02,7.38,-0.36,-4.88,109023.82,77965.027
600282.SH,20050303,7.01,7.12,7.0,7.1,7.02,0.08,1.14,34248.53,24186.591
600282.SH,20050304,7.13,7.13,7.03,7.13,7.1,0.03,0.42,21191.19,15008.803
600282.SH,20050307,7.12,7.19,7.1,7.17,7.13,0.04,0.56,18081.23,12928.635
600282.SH,20050308,7.17,7.21,7.08,7.2,7.17,0.03,0.42,42277.53,30233.502
600282.SH,20050309,7.2,7.24,7.04,7.1,7.2,-0.1,-1.39,35713.07,25434.995
600282.SH,20050310,7.09,7.1,6.92,6.99,7.1,-0.11,-1.55,27487.8,19294.703
600282.SH,20050311,6.99,7.08,6.96,7.06,6.99,0.07,1.0,22309.29,15663.235
600282.SH,20050314,7.08,7.18,7.05,7.12,7.06,0.06,0.85,32731.26,23280.079
600282.SH,20050315,7.13,7.22,7.06,7.1,7.12,-0.02,-0.28,28445.6,20297.331
600282.SH,20050316,7.1,7.36,7.08,7.33,7.1,0.23,3.24,67504.9,48798.705
600282.SH,20050317,7.3,7.4,7.17,7.19,7.33,-0.14,-1.91,61266.2,44613.22
600282.SH,20050318,7.3,7.34,7.13,7.21,7.19,0.02,0.28,88199.93,63942.475
600282.SH,20050321,7.3,7.39,7.24,7.37,7.21,0.16,2.22,50904.81,37293.023
600282.SH,20050322,7.37,7.42,7.02,7.06,7.37,-0.31,-4.21,53251.44,38283.296
600282.SH,20050323,7.06,7.15,6.8,7.0,7.06,-0.06,-0.85,43796.18,30414.619
600282.SH,20050324,6.9,7.03,6.87,7.0,7.0,0.0,0.0,17672.67,12274.512
600282.SH,20050325,7.01,7.02,6.9,6.96,7.0,-0.04,-0.57,14408.16,10022.569
600282.SH,20050328,6.95,6.97,6.77,6.87,6.96,-0.09,-1.29,18608.5,12740.159
600282.SH,20050329,6.88,6.96,6.81,6.88,6.87,0.01,0.15,15456.99,10657.839
600282.SH,20050330,6.94,6.94,6.81,6.83,6.88,-0.05,-0.73,13322.83,9143.832
600282.SH,20050331,6.77,6.79,6.52,6.6,6.83,-0.23,-3.37,39806.39,26275.342
600282.SH,20050401,6.58,7.08,6.52,6.94,6.6,0.34,5.15,50405.71,34353.634
600282.SH,20050404,6.86,6.86,6.69,6.7,6.94,-0.24,-3.46,35891.28,24248.529
600282.SH,20050405,6.75,6.78,6.55,6.57,6.7,-0.13,-1.94,21207.84,14076.076
600282.SH,20050406,6.52,6.57,6.35,6.49,6.57,-0.08,-1.22,57525.02,37204.352
600282.SH,20050407,6.5,6.71,6.42,6.55,6.49,0.06,0.92,64860.06,42490.198
600282.SH,20050408,6.55,6.71,6.46,6.7,6.55,0.15,2.29,59119.28,39125.949
600282.SH,20050411,6.81,6.96,6.76,6.81,6.7,0.11,1.64,122965.26,84532.218
600282.SH,20050412,6.76,6.94,6.62,6.76,6.81,-0.05,-0.73,37473.38,25528.411
600282.SH,20050413,6.8,6.93,6.8,6.86,6.76,0.1,1.48,41311.37,28319.021
600282.SH,20050414,6.9,6.95,6.77,6.78,6.86,-0.08,-1.17,29091.0,19931.708
600282.SH,20050415,6.7,6.74,6.61,6.62,6.78,-0.16,-2.36,29723.4,19783.605
600282.SH,20050418,6.61,6.65,6.58,6.64,6.62,0.02,0.3,13910.69,9197.561
600282.SH,20050419,6.64,6.69,6.58,6.61,6.64,-0.03,-0.45,18315.3,12118.611
600282.SH,20050420,6.62,6.73,6.5,6.67,6.61,0.06,0.91,29058.37,19214.954
600282.SH,20050422,6.52,6.54,6.13,6.19,6.67,-0.48,-7.2,53020.04,33115.131
600282.SH,20050425,6.15,6.17,6.01,6.09,6.19,-0.1,-1.62,25307.52,15360.575
600282.SH,20050426,6.02,6.18,6.0,6.11,6.09,0.02,0.33,14122.86,8608.958
600282.SH,20050427,6.1,6.11,6.02,6.05,6.11,-0.06,-0.98,15740.6,9539.758
600282.SH,20050428,6.02,6.12,5.87,6.07,6.05,0.02,0.33,24823.1,14904.943
600282.SH,20050429,6.09,6.09,5.91,5.92,6.07,-0.15,-2.47,22870.34,13625.171
600282.SH,20050509,5.91,6.05,5.82,5.85,5.92,-0.07,-1.18,12605.93,7416.638
600282.SH,20050510,5.85,5.88,5.63,5.78,5.85,-0.07,-1.2,14721.28,8498.463
600282.SH,20050511,5.78,5.85,5.7,5.71,5.78,-0.07,-1.21,11296.12,6532.702
600282.SH,20050512,5.7,5.78,5.62,5.62,5.71,-0.09,-1.58,15750.0,8939.424
600282.SH,20050513,5.6,5.68,5.53,5.58,5.62,-0.04,-0.71,18192.95,10166.324
600282.SH,20050516,5.58,5.62,5.55,5.58,5.58,0.0,0.0,11340.95,6327.778
600282.SH,20050517,5.57,5.82,5.57,5.78,5.58,0.2,3.58,33564.93,19273.088
600282.SH,20050518,5.84,5.86,5.74,5.83,5.78,0.05,0.87,30739.44,17818.529
600282.SH,20050519,5.82,5.85,5.73,5.84,5.83,0.01,0.17,16317.78,9439.296
600282.SH,20050520,5.84,5.86,5.79,5.8,5.84,-0.04,-0.68,13784.8,8029.62
600282.SH,20050523,5.8,5.8,5.7,5.72,5.8,-0.08,-1.38,16267.74,9311.006
600282.SH,20050524,5.75,5.82,5.67,5.79,5.72,0.07,1.22,25403.5,14601.247
600282.SH,20050525,5.78,5.83,5.75,5.77,5.79,-0.02,-0.35,21477.23,12436.596
600282.SH,20050526,5.75,5.81,5.71,5.72,5.77,-0.05,-0.87,25965.59,14947.483
600282.SH,20050527,3.6,3.61,3.41,3.43,3.61,-0.18,-4.99,26738.44,9394.408
600282.SH,20050530,3.4,3.48,3.33,3.43,3.43,0.0,0.0,24670.75,8351.344
600282.SH,20050531,3.43,3.47,3.41,3.43,3.43,0.0,0.0,13623.56,4683.159
600282.SH,20050601,3.43,3.5,3.39,3.42,3.43,-0.01,-0.29,21892.88,7528.113
600282.SH,20050602,3.42,3.45,3.4,3.45,3.42,0.03,0.88,21500.82,7365.823
600282.SH,20050603,3.45,3.51,3.42,3.44,3.45,-0.01,-0.29,38876.44,13427.541
600282.SH,20050606,3.45,3.47,3.38,3.46,3.44,0.02,0.58,26236.61,9002.738
600282.SH,20050607,3.49,3.55,3.46,3.48,3.46,0.02,0.58,39839.52,13986.88
600282.SH,20050608,3.48,3.78,3.48,3.74,3.48,0.26,7.47,124898.15,46025.155
