ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600285.SH,20050104,6.55,6.75,6.55,6.67,6.63,0.04,0.6,413.0,274.357
600285.SH,20050105,6.68,6.76,6.6,6.65,6.67,-0.02,-0.3,424.5,283.109
600285.SH,20050106,6.62,6.68,6.56,6.59,6.65,-0.06,-0.9,335.0,221.516
600285.SH,20050107,6.57,6.66,6.48,6.61,6.59,0.02,0.3,701.0,460.753
600285.SH,20050110,6.64,6.66,6.52,6.59,6.61,-0.02,-0.3,379.0,249.248
600285.SH,20050111,6.56,6.64,6.41,6.5,6.59,-0.09,-1.37,718.0,468.698
600285.SH,20050112,6.5,6.53,6.43,6.46,6.5,-0.04,-0.62,564.8,366.055
600285.SH,20050113,6.44,6.55,6.44,6.5,6.46,0.04,0.62,561.01,364.507
600285.SH,20050114,6.58,6.58,6.48,6.48,6.5,-0.02,-0.31,446.0,290.69
600285.SH,20050117,6.4,6.46,6.2,6.22,6.48,-0.26,-4.01,1535.7,965.133
600285.SH,20050118,6.28,6.38,6.21,6.35,6.22,0.13,2.09,916.0,572.516
600285.SH,20050119,6.25,6.36,6.25,6.32,6.35,-0.03,-0.47,342.0,216.074
600285.SH,20050120,6.24,6.29,6.16,6.2,6.32,-0.12,-1.9,421.49,261.821
600285.SH,20050121,6.2,6.3,6.02,6.29,6.2,0.09,1.45,931.85,575.856
600285.SH,20050124,6.44,6.49,6.36,6.4,6.29,0.11,1.75,1372.0,879.731
600285.SH,20050125,6.24,6.34,6.24,6.3,6.4,-0.1,-1.56,587.4,369.414
600285.SH,20050126,6.3,6.35,6.25,6.29,6.3,-0.01,-0.16,365.5,230.357
600285.SH,20050127,6.26,6.28,6.18,6.2,6.29,-0.09,-1.43,416.0,258.541
600285.SH,20050128,6.2,6.2,6.07,6.08,6.2,-0.12,-1.94,749.5,456.917
600285.SH,20050131,6.07,6.08,5.69,5.7,6.08,-0.38,-6.25,1294.0,755.421
600285.SH,20050201,5.72,5.78,5.7,5.7,5.7,0.0,0.0,616.99,353.504
600285.SH,20050202,5.7,6.1,5.7,6.0,5.7,0.3,5.26,1304.51,767.548
600285.SH,20050203,6.0,6.09,5.91,6.0,6.0,0.0,0.0,1130.0,677.929
600285.SH,20050204,6.0,6.1,5.95,6.07,6.0,0.07,1.17,803.0,485.316
600285.SH,20050216,6.07,6.15,6.07,6.07,6.07,0.0,0.0,841.0,513.135
600285.SH,20050217,6.06,6.08,5.92,6.05,6.07,-0.02,-0.33,586.03,352.771
600285.SH,20050218,6.05,6.05,5.98,6.0,6.05,-0.05,-0.83,310.0,186.469
600285.SH,20050221,6.0,6.14,6.0,6.12,6.0,0.12,2.0,539.0,328.86
600285.SH,20050222,6.12,6.28,6.12,6.28,6.12,0.16,2.61,1506.06,936.166
600285.SH,20050223,6.28,6.36,6.21,6.33,6.28,0.05,0.8,2152.9,1349.625
600285.SH,20050224,6.3,6.45,6.26,6.29,6.33,-0.04,-0.63,1498.0,947.143
600285.SH,20050225,6.3,6.39,6.28,6.32,6.29,0.03,0.48,1928.0,1220.946
600285.SH,20050228,6.32,6.32,6.21,6.28,6.32,-0.04,-0.63,1366.87,856.779
600285.SH,20050301,6.28,6.33,6.21,6.3,6.28,0.02,0.32,960.0,600.794
600285.SH,20050302,6.3,6.38,6.24,6.24,6.3,-0.06,-0.95,1100.0,692.993
600285.SH,20050303,6.23,6.25,6.12,6.21,6.24,-0.03,-0.48,1068.8,662.328
600285.SH,20050304,6.21,6.26,6.15,6.17,6.21,-0.04,-0.64,566.99,351.127
600285.SH,20050307,6.17,6.25,6.17,6.24,6.17,0.07,1.13,376.1,233.419
600285.SH,20050308,6.17,6.36,6.17,6.35,6.24,0.11,1.76,1519.9,954.532
600285.SH,20050309,6.38,6.44,6.35,6.43,6.35,0.08,1.26,2493.67,1595.106
600285.SH,20050310,6.43,6.54,6.26,6.28,6.43,-0.15,-2.33,2607.0,1669.851
600285.SH,20050311,6.28,6.35,6.23,6.35,6.28,0.07,1.11,1299.3,817.57
600285.SH,20050314,6.36,6.38,6.22,6.27,6.35,-0.08,-1.26,1181.0,741.936
600285.SH,20050315,6.36,6.42,6.25,6.26,6.27,-0.01,-0.16,1658.5,1048.628
600285.SH,20050316,6.22,6.22,6.01,6.06,6.26,-0.2,-3.19,1892.8,1150.081
600285.SH,20050317,6.07,6.18,6.02,6.05,6.06,-0.01,-0.17,673.3,408.05
600285.SH,20050318,6.03,6.03,5.81,5.89,6.05,-0.16,-2.64,1248.0,742.279
