ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600287.SH,20050104,3.68,3.76,3.68,3.74,3.72,0.02,0.54,2041.0,761.026
600287.SH,20050105,3.72,3.83,3.72,3.79,3.74,0.05,1.34,2935.35,1108.069
600287.SH,20050106,3.79,3.8,3.74,3.75,3.79,-0.04,-1.06,1735.16,653.647
600287.SH,20050107,3.74,3.82,3.74,3.75,3.75,0.0,0.0,1236.06,466.679
600287.SH,20050110,3.73,3.8,3.73,3.77,3.75,0.02,0.53,1417.1,534.905
600287.SH,20050111,3.78,3.83,3.76,3.79,3.77,0.02,0.53,1712.32,648.104
600287.SH,20050112,3.78,3.81,3.76,3.81,3.79,0.02,0.53,1224.2,464.1
600287.SH,20050113,3.81,3.81,3.76,3.78,3.81,-0.03,-0.79,1465.28,553.528
600287.SH,20050114,3.74,3.79,3.71,3.75,3.78,-0.03,-0.79,1760.0,662.151
600287.SH,20050117,3.72,3.72,3.62,3.66,3.75,-0.09,-2.4,3500.6,1284.927
600287.SH,20050118,3.7,3.71,3.67,3.71,3.66,0.05,1.37,1723.72,636.407
600287.SH,20050119,3.71,3.72,3.68,3.7,3.71,-0.01,-0.27,1703.87,628.969
600287.SH,20050120,3.7,3.7,3.62,3.65,3.7,-0.05,-1.35,1621.72,592.718
600287.SH,20050121,3.66,3.74,3.6,3.71,3.65,0.06,1.64,2945.59,1081.187
600287.SH,20050124,3.92,3.93,3.75,3.8,3.71,0.09,2.43,3283.19,1248.001
600287.SH,20050125,3.8,3.8,3.74,3.79,3.8,-0.01,-0.26,1315.22,494.561
600287.SH,20050126,3.79,3.93,3.73,3.9,3.79,0.11,2.9,9353.94,3599.44
600287.SH,20050127,4.0,4.11,3.97,3.99,3.9,0.09,2.31,45109.87,18184.958
600287.SH,20050128,3.93,3.96,3.81,3.84,3.99,-0.15,-3.76,7779.99,3019.398
600287.SH,20050131,3.84,3.84,3.72,3.72,3.84,-0.12,-3.13,5204.0,1958.732
600287.SH,20050201,3.73,3.81,3.73,3.78,3.72,0.06,1.61,3427.41,1295.818
600287.SH,20050202,3.85,3.95,3.8,3.93,3.78,0.15,3.97,7361.92,2871.918
600287.SH,20050203,3.92,3.92,3.8,3.84,3.93,-0.09,-2.29,8065.51,3113.279
600287.SH,20050204,3.9,3.94,3.81,3.89,3.84,0.05,1.3,8383.19,3252.819
600287.SH,20050216,3.86,3.96,3.85,3.91,3.89,0.02,0.51,8008.61,3122.832
600287.SH,20050217,3.9,3.9,3.84,3.88,3.91,-0.03,-0.77,3662.2,1415.336
600287.SH,20050218,3.87,3.95,3.86,3.9,3.88,0.02,0.52,6639.25,2588.909
600287.SH,20050221,3.91,3.96,3.88,3.94,3.9,0.04,1.03,7014.58,2754.531
600287.SH,20050222,3.98,4.01,3.92,4.0,3.94,0.06,1.52,11366.64,4515.124
600287.SH,20050223,4.02,4.02,3.95,3.99,4.0,-0.01,-0.25,10777.54,4300.07
600287.SH,20050224,3.98,4.02,3.94,4.02,3.99,0.03,0.75,9374.39,3736.525
600287.SH,20050225,4.05,4.12,4.01,4.01,4.02,-0.01,-0.25,21026.61,8558.775
600287.SH,20050228,4.01,4.04,3.96,3.97,4.01,-0.04,-1.0,6301.2,2519.886
600287.SH,20050301,3.95,3.98,3.92,3.96,3.97,-0.01,-0.25,4554.41,1798.481
600287.SH,20050302,3.96,4.0,3.8,3.9,3.96,-0.06,-1.52,8930.25,3497.769
600287.SH,20050303,3.86,3.92,3.84,3.91,3.9,0.01,0.26,5844.58,2261.827
600287.SH,20050304,3.9,3.9,3.84,3.85,3.91,-0.06,-1.53,3600.6,1388.713
600287.SH,20050307,3.85,3.9,3.84,3.89,3.85,0.04,1.04,2351.46,912.864
600287.SH,20050308,3.88,3.95,3.86,3.93,3.89,0.04,1.03,5923.54,2317.744
