filename,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,策略评分
000001.SZ_平安银行.csv,11,3.54%,63.64%,15.31%,-2.50%,3.929,2.5
000002.SZ_万科A.csv,6,0.84%,50.00%,6.09%,-5.55%,1.768,0.884
000006.SZ_深振业A.csv,2,21.86%,100.00%,37.99%,5.73%,0.219,0.219
000007.SZ_全新好.csv,26,1.97%,65.38%,20.57%,-30.19%,0.855,0.559
000008.SZ_神州高铁.csv,13,9.99%,84.62%,46.48%,-14.74%,1.333,1.128
000009.SZ_中国宝安.csv,9,-2.91%,22.22%,9.04%,-11.67%,1.117,0.248
000010.SZ_美丽生态.csv,14,1.00%,50.00%,11.75%,-11.03%,1.341,0.67
000011.SZ_深物业A.csv,2,7.59%,100.00%,9.10%,6.09%,0.076,0.076
000025.SZ_特力A.csv,4,-1.84%,50.00%,39.08%,-31.67%,0.844,0.422
000026.SZ_飞亚达.csv,8,-4.15%,50.00%,20.37%,-32.43%,0.492,0.246
000027.SZ_深圳能源.csv,1,1.29%,100.00%,1.29%,1.29%,0.013,0.013
000028.SZ_国药一致.csv,8,7.62%,100.00%,30.31%,0.91%,0.076,0.076
000030.SZ_富奥股份.csv,10,-0.69%,40.00%,7.78%,-13.59%,1.159,0.464
000031.SZ_大悦城.csv,4,-0.34%,50.00%,3.09%,-3.70%,0.747,0.373
000032.SZ_深桑达A.csv,7,0.19%,42.86%,16.93%,-12.33%,1.41,0.604
000034.SZ_神州数码.csv,3,-6.54%,0.00%,-2.30%,-10.55%,0.0,0.0
000035.SZ_中国天楹.csv,13,-0.07%,53.85%,9.94%,-10.24%,0.686,0.369
000036.SZ_华联控股.csv,6,-0.04%,66.67%,3.46%,-8.05%,0.488,0.325
000037.SZ_深南电A.csv,4,5.20%,75.00%,24.91%,-10.75%,0.978,0.734
000039.SZ_中集集团.csv,4,-2.62%,25.00%,7.01%,-7.19%,1.202,0.301
000042.SZ_中洲控股.csv,11,3.98%,72.73%,23.70%,-11.41%,1.376,1.0
000045.SZ_深纺织A.csv,9,1.31%,55.56%,11.59%,-7.82%,1.231,0.684
000048.SZ_京基智农.csv,4,1.23%,50.00%,13.30%,-7.27%,1.374,0.687
000049.SZ_德赛电池.csv,12,-0.79%,41.67%,5.91%,-13.50%,0.788,0.328
000050.SZ_深天马A.csv,1,3.55%,100.00%,3.55%,3.55%,0.036,0.036
000055.SZ_方大集团.csv,3,4.99%,100.00%,6.94%,2.82%,0.05,0.05
000056.SZ_皇庭国际.csv,13,-3.51%,0.00%,-0.09%,-10.88%,0.0,0.0
000058.SZ_深赛格.csv,3,1.26%,66.67%,5.50%,-4.91%,0.885,0.59
000059.SZ_华锦股份.csv,8,-2.41%,37.50%,5.84%,-14.16%,0.506,0.19
000060.SZ_中金岭南.csv,6,1.74%,66.67%,12.03%,-5.47%,1.309,0.873
000061.SZ_农产品.csv,7,1.94%,57.14%,7.07%,-2.99%,3.087,1.764
000062.SZ_深圳华强.csv,2,-3.04%,50.00%,2.24%,-8.32%,0.27,0.135
000063.SZ_中兴通讯.csv,11,0.89%,63.64%,6.93%,-6.71%,1.02,0.649
000065.SZ_北方国际.csv,8,2.05%,50.00%,12.65%,-6.36%,1.704,0.852
000066.SZ_中国长城.csv,9,2.32%,55.56%,12.55%,-5.26%,1.715,0.953
000068.SZ_华控赛格.csv,12,-1.47%,33.33%,9.41%,-9.43%,0.892,0.297
000069.SZ_华侨城A.csv,2,4.49%,50.00%,14.39%,-5.40%,2.665,1.333
000070.SZ_ST特信.csv,6,2.82%,83.33%,7.37%,-7.85%,0.63,0.525
000078.SZ_海王生物.csv,2,-2.11%,0.00%,-0.59%,-3.63%,0.0,0.0
000088.SZ_盐田港.csv,6,6.06%,83.33%,27.63%,-0.40%,18.504,15.42
000089.SZ_深圳机场.csv,1,2.40%,100.00%,2.40%,2.40%,0.024,0.024
000090.SZ_天健集团.csv,3,3.68%,66.67%,7.48%,-3.85%,1.936,1.291
000096.SZ_广聚能源.csv,5,1.64%,60.00%,9.66%,-5.85%,1.203,0.722
000099.SZ_中信海直.csv,2,20.46%,50.00%,42.94%,-2.02%,21.269,10.635
000100.SZ_TCL科技.csv,4,-1.57%,25.00%,6.98%,-7.48%,1.579,0.395
000151.SZ_中成股份.csv,4,-2.85%,0.00%,-0.16%,-7.52%,0.0,0.0
000153.SZ_丰原药业.csv,6,-1.45%,33.33%,9.82%,-6.68%,1.066,0.355
000155.SZ_川能动力.csv,12,-3.30%,16.67%,4.34%,-11.62%,0.557,0.093
000156.SZ_华数传媒.csv,3,-2.04%,33.33%,2.75%,-7.50%,0.621,0.207
000157.SZ_中联重科.csv,7,-0.89%,57.14%,5.09%,-7.94%,0.447,0.255
000158.SZ_常山北明.csv,4,18.47%,100.00%,37.68%,3.52%,0.185,0.185
000159.SZ_国际实业.csv,8,4.54%,75.00%,23.54%,-5.85%,1.424,1.068
000166.SZ_申万宏源.csv,2,-0.49%,0.00%,-0.22%,-0.75%,0.0,0.0
000301.SZ_东方盛虹.csv,3,0.98%,66.67%,4.37%,-5.49%,0.768,0.512
000333.SZ_美的集团.csv,11,5.03%,63.64%,20.18%,-4.35%,4.893,3.114
000338.SZ_潍柴动力.csv,4,1.31%,75.00%,6.56%,-6.10%,0.621,0.465
000400.SZ_许继电气.csv,5,0.48%,60.00%,4.07%,-4.40%,0.971,0.583
000401.SZ_冀东水泥.csv,7,2.10%,57.14%,14.18%,-6.90%,1.73,0.989
000402.SZ_金融街.csv,4,0.46%,75.00%,5.29%,-3.92%,0.489,0.367
000403.SZ_派林生物.csv,9,1.52%,55.56%,18.40%,-7.26%,1.521,0.845
000404.SZ_长虹华意.csv,3,3.69%,66.67%,10.17%,-0.34%,16.549,11.032
000407.SZ_胜利股份.csv,5,-0.24%,60.00%,6.33%,-8.50%,0.603,0.362
000408.SZ_藏格矿业.csv,12,0.73%,58.33%,9.63%,-10.55%,0.961,0.56
000409.SZ_云鼎科技.csv,7,3.05%,57.14%,17.49%,-9.80%,1.5,0.857
