filename,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,平均盈亏比
000001.SZ_平安银行.csv,7,4.48%,57.14%,15.04%,-0.62%,17.015,9.723
000002.SZ_万科A.csv,6,-0.54%,33.33%,5.97%,-8.28%,1.055,0.352
000006.SZ_深振业A.csv,6,-1.21%,33.33%,2.95%,-4.84%,0.73,0.243
000007.SZ_全新好.csv,9,1.31%,55.56%,15.49%,-6.21%,1.38,0.767
000008.SZ_神州高铁.csv,2,6.25%,100.00%,8.37%,4.13%,0.063,0.063
000009.SZ_中国宝安.csv,11,1.40%,63.64%,6.87%,-6.29%,1.487,0.946
000010.SZ_美丽生态.csv,5,-4.75%,20.00%,2.85%,-12.27%,0.429,0.086
000011.SZ_深物业A.csv,1,1.71%,100.00%,1.71%,1.71%,0.017,0.017
000025.SZ_特力A.csv,2,-5.07%,0.00%,-3.90%,-6.24%,0.0,0.0
000026.SZ_飞亚达.csv,7,3.65%,57.14%,13.09%,-2.09%,4.518,2.582
000027.SZ_深圳能源.csv,6,-0.09%,66.67%,6.89%,-9.25%,0.477,0.318
000028.SZ_国药一致.csv,5,-0.91%,40.00%,3.08%,-3.36%,0.685,0.274
000030.SZ_富奥股份.csv,9,0.37%,55.56%,5.02%,-9.77%,0.963,0.535
000031.SZ_大悦城.csv,4,1.02%,75.00%,3.19%,-1.14%,1.521,1.141
000032.SZ_深桑达A.csv,10,1.34%,60.00%,10.71%,-6.35%,1.193,0.716
000034.SZ_神州数码.csv,9,-1.29%,33.33%,2.31%,-5.75%,0.593,0.198
000035.SZ_中国天楹.csv,10,-1.84%,20.00%,2.39%,-4.93%,0.695,0.139
000036.SZ_华联控股.csv,17,1.80%,58.82%,20.11%,-4.26%,2.602,1.531
000037.SZ_深南电A.csv,10,-2.39%,20.00%,2.20%,-5.18%,0.453,0.091
000039.SZ_中集集团.csv,17,1.77%,64.71%,7.45%,-2.53%,4.013,2.597
