ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600273.SH,20050104,3.78,3.78,3.66,3.71,3.78,-0.07,-1.85,1868.15,693.97
600273.SH,20050105,3.72,3.85,3.7,3.79,3.71,0.08,2.16,1882.05,709.381
600273.SH,20050106,3.85,3.85,3.75,3.76,3.79,-0.03,-0.79,1512.98,572.175
600273.SH,20050107,3.75,3.82,3.71,3.75,3.76,-0.01,-0.27,1722.83,647.932
600273.SH,20050110,3.71,3.85,3.7,3.84,3.75,0.09,2.4,1793.5,681.206
600273.SH,20050111,3.84,3.85,3.79,3.83,3.84,-0.01,-0.26,1552.01,593.024
600273.SH,20050112,3.8,3.87,3.76,3.83,3.83,0.0,0.0,1467.25,559.695
600273.SH,20050113,3.83,3.83,3.77,3.79,3.83,-0.04,-1.04,1916.25,727.636
600273.SH,20050114,3.79,3.81,3.74,3.75,3.79,-0.04,-1.06,3671.9,1384.279
600273.SH,20050117,3.75,3.75,3.6,3.6,3.75,-0.15,-4.0,4282.0,1560.497
600273.SH,20050118,3.7,3.7,3.6,3.66,3.6,0.06,1.67,3494.0,1268.376
600273.SH,20050119,3.61,3.68,3.61,3.66,3.66,0.0,0.0,1558.28,569.439
600273.SH,20050120,3.66,3.66,3.59,3.59,3.66,-0.07,-1.91,2117.99,765.571
600273.SH,20050121,3.59,3.7,3.58,3.7,3.59,0.11,3.06,5475.63,2001.267
600273.SH,20050124,3.76,3.83,3.74,3.78,3.7,0.08,2.16,5110.25,1929.477
600273.SH,20050125,3.74,3.74,3.68,3.72,3.78,-0.06,-1.59,2528.37,936.57
600273.SH,20050126,3.74,3.75,3.65,3.68,3.72,-0.04,-1.08,1761.0,649.107
600273.SH,20050127,3.63,3.67,3.62,3.64,3.68,-0.04,-1.09,2056.06,747.989
600273.SH,20050128,3.62,3.63,3.43,3.49,3.64,-0.15,-4.12,3942.63,1395.887
600273.SH,20050131,3.48,3.48,3.3,3.32,3.49,-0.17,-4.87,4497.01,1512.882
600273.SH,20050201,3.34,3.35,3.26,3.26,3.32,-0.06,-1.81,3887.4,1285.413
600273.SH,20050202,3.29,3.44,3.26,3.41,3.26,0.15,4.6,4886.02,1639.224
600273.SH,20050203,3.41,3.45,3.33,3.34,3.41,-0.07,-2.05,4964.0,1678.889
600273.SH,20050204,3.34,3.51,3.33,3.5,3.34,0.16,4.79,7957.1,2742.03
600273.SH,20050216,3.57,3.57,3.45,3.52,3.5,0.02,0.57,4853.0,1706.248
600273.SH,20050217,3.47,3.5,3.44,3.5,3.52,-0.02,-0.57,3342.0,1157.428
600273.SH,20050218,3.5,3.5,3.44,3.45,3.5,-0.05,-1.43,2240.0,775.559
600273.SH,20050221,3.45,3.53,3.43,3.52,3.45,0.07,2.03,4308.0,1502.716
600273.SH,20050222,3.52,3.6,3.49,3.59,3.52,0.07,1.99,7415.82,2637.693
600273.SH,20050223,3.59,3.71,3.54,3.67,3.59,0.08,2.23,12835.67,4665.969
600273.SH,20050224,3.62,3.75,3.62,3.69,3.67,0.02,0.55,9434.91,3478.422
600273.SH,20050225,3.69,3.74,3.64,3.66,3.69,-0.03,-0.81,9024.61,3336.336
600273.SH,20050228,3.7,3.7,3.61,3.66,3.66,0.0,0.0,4795.99,1749.366
600273.SH,20050301,3.7,3.7,3.62,3.69,3.66,0.03,0.82,4443.93,1627.102
600273.SH,20050302,3.7,3.74,3.64,3.68,3.69,-0.01,-0.27,9256.94,3421.435
600273.SH,20050303,3.66,3.76,3.6,3.75,3.68,0.07,1.9,12013.42,4449.561
600273.SH,20050304,3.78,3.84,3.72,3.73,3.75,-0.02,-0.53,34896.83,13235.433
600273.SH,20050307,3.68,3.69,3.63,3.63,3.73,-0.1,-2.68,7515.0,2747.569
600273.SH,20050308,3.6,3.71,3.6,3.69,3.63,0.06,1.65,6644.5,2426.553
600273.SH,20050309,3.7,3.71,3.65,3.66,3.69,-0.03,-0.81,5680.0,2087.394
600273.SH,20050310,3.65,3.68,3.54,3.56,3.66,-0.1,-2.73,6171.28,2226.753
600273.SH,20050311,3.53,3.58,3.5,3.54,3.56,-0.02,-0.56,6424.71,2264.053
600273.SH,20050314,3.54,3.54,3.38,3.44,3.54,-0.1,-2.82,8565.98,2947.314
600273.SH,20050315,3.45,3.48,3.39,3.4,3.44,-0.04,-1.16,4619.0,1576.747
600273.SH,20050316,3.39,3.45,3.39,3.44,3.4,0.04,1.18,4488.04,1533.777
600273.SH,20050317,3.44,3.44,3.33,3.36,3.44,-0.08,-2.33,3868.01,1307.709
600273.SH,20050318,3.39,3.39,3.28,3.28,3.36,-0.08,-2.38,4559.1,1508.927
600273.SH,20050321,3.3,3.3,3.17,3.23,3.28,-0.05,-1.52,5860.0,1883.147
600273.SH,20050322,3.23,3.23,3.07,3.07,3.23,-0.16,-4.95,6189.0,1927.885
600273.SH,20050323,3.06,3.18,3.06,3.1,3.07,0.03,0.98,5622.39,1761.844
600273.SH,20050324,3.09,3.18,3.07,3.17,3.1,0.07,2.26,4222.33,1322.739
600273.SH,20050325,3.15,3.2,3.12,3.18,3.17,0.01,0.32,2477.24,781.803
600273.SH,20050328,3.15,3.17,3.1,3.15,3.18,-0.03,-0.94,2196.82,685.807
600273.SH,20050329,3.12,3.18,3.11,3.14,3.15,-0.01,-0.32,1859.31,585.004
600273.SH,20050330,3.13,3.13,3.03,3.07,3.14,-0.07,-2.23,4519.64,1387.058
600273.SH,20050331,3.03,3.08,2.99,3.06,3.07,-0.01,-0.33,4891.85,1484.727
600273.SH,20050401,3.07,3.2,3.01,3.17,3.06,0.11,3.59,5813.0,1806.799
