filename,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,平均盈亏比
000001.SZ_平安银行.csv,16,2.18%,75.00%,9.23%,-2.33%,3.304,2.478
000002.SZ_万科A.csv,9,0.46%,44.44%,3.68%,-3.29%,1.945,0.865
000006.SZ_深振业A.csv,9,-0.56%,55.56%,5.21%,-12.60%,0.576,0.32
000007.SZ_全新好.csv,14,-1.46%,42.86%,7.66%,-9.43%,0.679,0.291
000008.SZ_神州高铁.csv,4,2.59%,100.00%,5.65%,0.10%,0.026,0.026
000009.SZ_中国宝安.csv,13,1.45%,69.23%,11.61%,-2.93%,1.473,1.02
000010.SZ_美丽生态.csv,5,-0.65%,40.00%,6.33%,-9.45%,1.052,0.421
000011.SZ_深物业A.csv,5,1.61%,80.00%,4.81%,-4.84%,0.667,0.534
000025.SZ_特力A.csv,6,0.86%,33.33%,10.97%,-2.93%,3.699,1.233
000026.SZ_飞亚达.csv,16,2.35%,75.00%,9.54%,-3.77%,2.013,1.51
000027.SZ_深圳能源.csv,9,0.23%,66.67%,3.48%,-5.83%,0.602,0.402
000028.SZ_国药一致.csv,15,-0.21%,40.00%,5.39%,-3.73%,1.22,0.488
000030.SZ_富奥股份.csv,13,-1.13%,69.23%,4.17%,-9.79%,0.231,0.16
000031.SZ_大悦城.csv,11,1.19%,54.55%,13.61%,-2.76%,2.187,1.193
000032.SZ_深桑达A.csv,14,1.01%,50.00%,12.15%,-11.66%,1.554,0.777
000034.SZ_神州数码.csv,20,1.49%,70.00%,14.15%,-6.11%,1.229,0.86
000035.SZ_中国天楹.csv,10,-1.97%,20.00%,0.99%,-8.32%,0.289,0.058
000036.SZ_华联控股.csv,15,1.76%,46.67%,9.31%,-2.90%,3.977,1.856
000037.SZ_深南电A.csv,8,0.81%,50.00%,7.13%,-2.71%,1.993,0.996
000039.SZ_中集集团.csv,27,1.88%,77.78%,6.88%,-2.18%,2.063,1.604
000042.SZ_中洲控股.csv,11,2.43%,72.73%,6.21%,-2.63%,2.484,1.806
000045.SZ_深纺织A.csv,11,-2.43%,45.45%,6.13%,-22.46%,0.532,0.242
000048.SZ_京基智农.csv,16,0.03%,43.75%,6.04%,-4.24%,1.173,0.513
000049.SZ_德赛电池.csv,14,1.71%,71.43%,8.40%,-4.59%,1.818,1.299
000050.SZ_深天马A.csv,24,-0.57%,41.67%,11.21%,-11.57%,1.006,0.419
000055.SZ_方大集团.csv,10,0.95%,50.00%,12.99%,-3.39%,2.313,1.156
000056.SZ_皇庭国际.csv,9,1.19%,44.44%,13.16%,-5.28%,2.768,1.23
000058.SZ_深赛格.csv,7,2.39%,42.86%,12.15%,-3.79%,4.266,1.828
000059.SZ_华锦股份.csv,14,1.65%,71.43%,6.52%,-5.00%,1.613,1.152
000060.SZ_中金岭南.csv,8,0.46%,62.50%,4.04%,-3.91%,0.99,0.619
000061.SZ_农产品.csv,15,-0.15%,40.00%,5.84%,-5.86%,0.986,0.394
000062.SZ_深圳华强.csv,14,0.84%,64.29%,8.15%,-5.00%,1.213,0.78
000063.SZ_中兴通讯.csv,19,0.06%,47.37%,8.37%,-7.66%,1.169,0.554
000065.SZ_北方国际.csv,11,-1.38%,45.45%,1.56%,-8.30%,0.205,0.093
000066.SZ_中国长城.csv,9,0.90%,55.56%,6.38%,-4.15%,1.42,0.789
000068.SZ_华控赛格.csv,5,2.48%,60.00%,10.91%,-2.43%,2.435,1.461
000069.SZ_华侨城A.csv,18,-0.32%,33.33%,6.60%,-4.58%,1.428,0.476
000070.SZ_ST特信.csv,13,-1.36%,46.15%,8.64%,-15.52%,0.642,0.296
000078.SZ_海王生物.csv,10,1.42%,50.00%,13.83%,-1.89%,2.803,1.402
000088.SZ_盐田港.csv,8,-0.55%,37.50%,1.25%,-2.20%,0.483,0.181
